date,hanle_pblh,merak_pblh,PT,See1,See2,std
2011-11-14,0.8331011,916.589,44,1.228,1.145,0.389
2011-11-15,0.7830736,845.96765,1,1.06,1.06,0.0
2011-11-16,0.547636,578.76733,9,1.2309999999999999,1.27,0.114
2011-11-18,0.41724762,432.2632,193,1.208,1.2,0.18600000000000003
2011-11-19,0.37508944,186.43846,151,1.133,1.11,0.16399999999999998
2011-11-20,0.37844694,126.01065,259,1.1059999999999999,1.09,0.14800000000000002
2011-11-21,0.2514896,49.45813,265,0.988,0.97,0.131
2011-11-22,0.27078503,41.177948,258,1.3359999999999999,1.33,0.40299999999999997
2011-11-23,0.24419744,46.02481,159,2.017,1.99,0.541
2011-11-24,0.34405303,78.42313,164,1.319,1.315,0.18600000000000003
2011-11-25,0.3064695,65.46594,224,1.564,1.55,0.21
2011-11-26,0.64288545,523.6861,13,1.4780000000000002,1.47,0.091
2011-11-27,0.78786856,705.85175,14,1.258,1.24,0.084
2011-12-02,0.59093785,841.54584,135,2.198,2.18,0.244
2011-12-03,0.61660206,497.90997,79,2.594,2.59,0.198
2011-12-04,0.65911704,593.7016,190,2.175,2.15,0.28800000000000003
2011-12-05,1.0075572,1398.4701,16,2.56,2.565,0.14300000000000002
2011-12-06,0.6670492,510.70767,15,2.381,2.32,0.264
2011-12-09,0.75088304,706.4789,243,1.043,1.03,0.215
2011-12-10,0.431108,410.99384,192,1.22,1.18,0.22
2011-12-11,0.4905891,410.473,155,1.22,1.19,0.29
2011-12-12,1.0414999,1405.1028,115,2.3609999999999998,2.54,0.551
2011-12-13,0.80164504,779.73627,197,1.8659999999999999,1.83,0.293
2011-12-14,0.8545054,800.304,162,1.6219999999999999,1.59,0.27699999999999997
2011-12-15,1.0517615,916.3977,13,1.765,1.74,0.135
2011-12-17,0.9964668,1041.2074,177,1.42,1.35,0.34
2011-12-18,0.8218428,854.99194,1,1.1,1.1,0.0
2011-12-19,1.3266083,1689.2463,13,1.365,1.27,0.23399999999999999
2011-12-20,0.99436843,1408.3553,117,1.7719999999999998,1.66,0.324
2011-12-21,0.5760388,707.28674,1,1.64,1.64,0.0
2011-12-22,0.7354699,823.51855,17,1.4609999999999999,1.44,0.16399999999999998
2011-12-23,0.86645615,838.83545,87,1.645,1.59,0.248
2011-12-24,0.7359735,574.3668,127,1.476,1.46,0.248
2011-12-25,0.7511244,618.69116,37,2.0669999999999997,2.05,0.5670000000000001
2011-12-26,0.87194365,713.7706,147,1.5530000000000002,1.52,0.273
2011-12-31,0.7535796,676.11084,180,1.631,1.54,0.361
2012-01-02,0.631008,491.4792,249,1.483,1.48,0.305
