Datetime	r0	Std Dev	Merak PBLH Merra
2008-10-21 06:00:00	7.54	0.73	2.83
2008-10-21 07:00:00	7.496	1.666	2.986
2008-10-21 08:00:00	4.58	0.675	2.987
2008-10-21 09:00:00	5.927	0.507	3.037
2008-10-23 06:00:00	6.365	0.35	2.658
2008-10-23 07:00:00	6.273	0.338	2.715
2008-10-23 08:00:00	6.352	1.545	2.735
2008-10-24 06:00:00	8.12	1.243	2.452
2008-10-24 07:00:00	6.754	1.45	2.559
2008-10-24 08:00:00	6.199	1.292	2.617
2008-10-24 09:00:00	4.963	1.328	2.748
2008-10-26 06:00:00	6.566	0.582	2.241
2008-10-26 07:00:00	6.744	0.624	2.334
2008-10-27 06:00:00	8.994	0.507	2.153
2008-10-27 07:00:00	7.991	0.584	2.255
2008-10-27 08:00:00	7.44	0.428	2.332
2008-10-27 09:00:00	6.077	0.924	2.407
2008-10-27 10:00:00	6.775	0.792	2.32
2008-10-29 06:00:00	5.706	0.201	2.012
2008-10-29 07:00:00	5.776	1.423	2.292
2008-10-30 06:00:00	5.534	1.84	2.323
2008-10-30 07:00:00	4.586	1.169	2.703
2008-10-30 08:00:00	4.461	1.248	2.958
2008-10-30 09:00:00	5.21	1.926	2.779
2008-10-31 06:00:00	5.086	0.545	2.06
2008-10-31 07:00:00	5.0	0.541	2.469
2008-10-31 08:00:00	5.402	0.712	2.64
2008-10-31 09:00:00	5.836	0.329	2.609
2008-10-31 10:00:00	5.551	0.262	2.733
2008-11-01 06:00:00	5.806	0.537	3.035
2008-11-01 07:00:00	5.357	0.373	3.122
2008-11-01 08:00:00	4.772	0.503	3.123
2008-11-01 09:00:00	6.523	1.574	3.124
2008-11-01 10:00:00	5.499	0.855	3.113
2008-11-02 06:00:00	5.817	0.544	3.092
2008-11-02 07:00:00	6.563	0.38	3.095
2008-11-02 08:00:00	5.285	0.893	3.11
2008-11-02 09:00:00	5.161	0.731	3.111
2008-11-02 10:00:00	5.663	0.562	3.064
2008-11-03 06:00:00	6.56	0.725	3.075
2008-11-03 07:00:00	5.311	0.344	3.075
2008-11-03 08:00:00	5.751	0.554	3.073
2008-11-03 09:00:00	6.55	0.526	3.071
2008-11-03 10:00:00	9.065	0.788	3.068
2008-11-04 06:00:00	6.414	0.462	2.065
2008-11-04 07:00:00	5.439	0.508	2.141
2008-11-04 08:00:00	6.38	0.394	2.163
2008-11-04 09:00:00	6.107	0.858	2.165
2008-11-04 10:00:00	4.077	0.562	2.154
2008-11-05 06:00:00	5.871	0.312	1.795
2008-11-05 07:00:00	5.491	0.394	1.955
2008-11-05 08:00:00	4.718	0.297	2.025
2008-11-05 09:00:00	3.949	0.616	2.024
2008-11-05 10:00:00	4.365	1.269	1.858
2008-11-06 06:00:00	3.98	0.531	1.924
2008-11-06 07:00:00	4.478	0.376	2.065
2008-11-06 08:00:00	4.646	0.276	2.521
2008-11-06 09:00:00	4.078	0.737	2.756
2008-11-06 10:00:00	5.794	0.294	2.728
2008-11-07 06:00:00	4.623	0.372	1.78
2008-11-07 07:00:00	3.864	0.362	1.773
2008-11-07 08:00:00	5.032	0.671	1.722
2008-11-07 09:00:00	5.927	0.576	1.719
2008-11-07 10:00:00	8.465	1.964	1.582
2008-11-08 06:00:00	5.259	0.667	2.084
2008-11-08 07:00:00	6.22	0.509	2.24
2008-11-09 06:00:00	4.225	0.496	2.686
2008-11-09 07:00:00	4.086	0.467	2.964
2008-11-09 08:00:00	5.759	1.238	3.131
2008-11-09 09:00:00	8.146	0.758	3.134
2008-11-09 10:00:00	10.377	1.22	3.081
2008-11-10 06:00:00	7.33	1.142	2.368
2008-11-10 07:00:00	7.151	0.735	2.736
2008-11-10 08:00:00	7.736	0.983	3.015
2008-11-10 09:00:00	9.206	0.91	2.997
2008-11-10 10:00:00	10.703	0.547	2.97
2008-11-14 06:00:00	5.351	0.624	2.649
2008-11-14 07:00:00	5.972	0.471	2.859
2008-11-14 08:00:00	7.496	1.32	2.937
2008-11-14 09:00:00	6.54	3.684	2.867
2008-11-14 10:00:00	7.704	1.76	2.682
2008-11-15 06:00:00	5.138	1.149	2.95
2008-11-15 07:00:00	6.459	1.043	2.971
2008-11-16 06:00:00	4.506	0.52	2.813
2008-11-16 07:00:00	5.949	0.492	2.861
2008-11-16 08:00:00	5.996	0.751	2.917
2008-11-16 09:00:00	6.864	0.877	2.967
2008-11-16 10:00:00	8.063	0.3	2.956
2008-11-18 06:00:00	5.307	0.307	3.001
2008-11-18 07:00:00	6.622	0.507	3.029
2008-11-18 08:00:00	6.696	2.117	3.03
2008-11-18 09:00:00	4.685	1.026	3.031
2008-11-21 06:00:00	5.177	0.467	2.465
2008-11-21 07:00:00	3.871	0.45	2.441
2008-11-21 08:00:00	3.776	0.262	2.459
2008-11-21 09:00:00	3.411	0.33	2.783
2008-11-22 06:00:00	5.569	0.33	2.072
2008-11-22 07:00:00	5.21	1.462	2.569
2008-11-23 06:00:00	5.176	0.373	1.701
2008-11-23 07:00:00	5.292	0.608	1.957
2008-11-23 08:00:00	5.293	2.678	2.008
2008-11-24 06:00:00	5.501	0.272	2.281
2008-11-24 07:00:00	5.052	0.296	2.3
2008-11-24 08:00:00	5.195	0.341	2.278
2008-11-24 09:00:00	4.192	0.441	2.184
2008-11-24 10:00:00	4.42	0.128	1.63
2008-11-26 06:00:00	5.15	0.49	2.445
2008-11-26 07:00:00	3.686	0.58	2.654
2008-11-27 06:00:00	4.309	0.273	2.15
2008-11-27 07:00:00	4.984	0.536	2.413
2008-11-27 08:00:00	5.857	0.345	2.592
2008-11-29 06:00:00	4.554	0.269	2.412
2008-11-29 07:00:00	4.631	1.262	2.705
2008-12-01 06:00:00	3.668	0.439	1.829
2008-12-02 06:00:00	4.646	0.409	1.469
2008-12-02 07:00:00	5.068	0.585	1.609
2008-12-02 08:00:00	5.326	0.245	1.652
2008-12-02 09:00:00	5.47	0.334	1.638
2008-12-02 10:00:00	5.603	0.166	1.478
2008-12-03 06:00:00	5.868	0.303	1.87
2008-12-03 07:00:00	6.17	0.312	2.065
2008-12-03 08:00:00	5.605	0.378	2.139
2008-12-03 09:00:00	7.85	1.116	2.158
2008-12-03 10:00:00	5.984	0.62	2.071
2008-12-04 06:00:00	3.88	0.25	1.888
2008-12-04 07:00:00	5.002	0.636	2.145
2008-12-04 08:00:00	5.486	0.418	2.332
2008-12-04 09:00:00	6.499	1.511	2.37
2008-12-05 06:00:00	3.911	0.471	3.054
2008-12-05 07:00:00	4.762	0.555	3.055
2008-12-05 08:00:00	5.118	0.647	3.056
2008-12-05 09:00:00	5.514	0.496	3.082
2008-12-05 10:00:00	6.259	0.204	3.084
2008-12-06 06:00:00	4.766	0.564	3.079
2008-12-06 07:00:00	5.074	0.399	3.079
2008-12-06 08:00:00	5.197	0.435	2.977
2008-12-06 09:00:00	5.121	0.442	2.96
2008-12-06 10:00:00	5.343	0.292	2.945
2008-12-07 06:00:00	5.195	0.18	1.63
2008-12-07 07:00:00	5.412	0.684	2.004
2008-12-07 08:00:00	6.239	1.117	2.255
2008-12-10 06:00:00	3.085	0.275	2.59
2008-12-11 06:00:00	5.275	0.656	2.762
2008-12-11 07:00:00	3.112	2.082	2.902
2008-12-12 06:00:00	3.51	0.217	1.379
2008-12-12 07:00:00	3.558	0.255	1.659
2008-12-12 08:00:00	3.71	0.197	1.852
2008-12-12 09:00:00	3.92	0.168	1.844
2008-12-12 10:00:00	4.256	0.153	1.696
2008-12-13 06:00:00	5.577	1.223	1.763
2008-12-13 07:00:00	5.827	0.262	2.127
2008-12-13 08:00:00	6.133	0.47	2.445
2008-12-13 09:00:00	6.32	0.904	2.481
2008-12-13 10:00:00	4.8	0.168	2.163
2008-12-14 06:00:00	5.547	0.42	1.566
2008-12-14 07:00:00	5.847	0.32	1.728
2008-12-14 08:00:00	6.276	0.494	1.797
2008-12-14 09:00:00	5.894	0.386	1.784
2008-12-14 10:00:00	5.458	0.304	1.581
2008-12-22 06:00:00	5.063	0.35	1.72
2008-12-22 07:00:00	5.973	0.561	1.933
2008-12-22 08:00:00	5.538	0.341	1.983
2008-12-22 09:00:00	5.269	0.346	1.899
2008-12-22 10:00:00	4.672	0.472	1.555
2008-12-24 06:00:00	4.382	0.59	1.534
2008-12-24 07:00:00	3.925	0.569	1.679
2008-12-24 08:00:00	4.775	0.446	1.767
2008-12-24 09:00:00	3.898	0.374	1.732
2008-12-25 08:00:00	3.943	0.204	2.505
2008-12-25 09:00:00	4.347	0.175	2.385
2008-12-25 10:00:00	5.442	0.252	2.035
2008-12-26 06:00:00	5.821	0.38	1.338
2008-12-26 07:00:00	5.822	0.649	1.545
2008-12-26 08:00:00	5.78	0.537	1.679
2008-12-26 09:00:00	4.751	0.448	1.663
2008-12-26 10:00:00	4.475	0.355	1.423
2008-12-27 06:00:00	5.304	0.306	1.461
2008-12-27 07:00:00	5.432	0.323	1.621
2008-12-27 08:00:00	5.109	0.251	1.687
2008-12-27 09:00:00	4.709	0.34	1.683
2008-12-27 10:00:00	4.786	0.183	1.428
2008-12-28 06:00:00	3.927	0.349	1.572
2008-12-28 07:00:00	4.784	0.573	2.033
2008-12-28 08:00:00	5.282	0.459	2.348
2008-12-28 09:00:00	5.216	0.517	2.34
2008-12-28 10:00:00	4.943	0.623	1.995
2008-12-30 06:00:00	5.495	0.461	1.851
2008-12-30 07:00:00	5.532		2.127
2008-12-31 06:00:00	5.358	0.43	2.026
2008-12-31 07:00:00	4.946	0.19	2.137
2009-01-06 06:00:00	3.812	0.265	1.62
2009-01-06 07:00:00	3.529	0.287	1.861
2009-01-06 08:00:00	2.644	0.676	2.057
2009-01-06 09:00:00	2.359	0.966	2.132
2009-01-08 06:00:00	3.584	0.831	2.453
2009-01-09 06:00:00	4.303	0.215	1.854
2009-01-09 07:00:00	4.114	0.391	2.169
2009-01-09 08:00:00	3.928	1.223	2.424
2009-01-11 06:00:00	4.183	0.346	1.566
2009-01-11 07:00:00	4.384	0.855	1.786
2009-01-11 08:00:00	4.462	0.29	2.0
2009-01-11 09:00:00	4.419	0.251	2.573
2009-01-11 10:00:00	4.232	0.145	2.735
2009-01-12 06:00:00	4.344	0.26	2.556
2009-01-19 06:00:00	3.62	0.292	2.491
2009-01-19 07:00:00	3.661	0.527	2.707
2009-01-20 06:00:00	1.141	0.224	1.611
2009-01-27 08:00:00	6.0	0.243	2.82
2009-01-27 09:00:00	6.21	1.46	2.507
2009-01-27 10:00:00	4.82	2.483	2.113
2009-01-28 06:00:00	3.942	0.54	1.878
2009-01-28 07:00:00	3.957	0.818	2.723
2009-01-28 08:00:00	3.698	0.246	2.997
2009-01-28 09:00:00	3.462	0.181	3.0
2009-01-28 10:00:00	3.318	0.211	2.952
2009-01-28 11:00:00	2.935	0.024	1.706
2009-01-31 06:00:00	4.561	1.994	1.786
2009-01-31 07:00:00	5.16	0.352	1.875
2009-01-31 08:00:00	5.68	0.353	2.178
2009-01-31 09:00:00	5.51	0.487	2.593
2009-01-31 10:00:00	4.587	0.234	2.882
2009-02-01 06:00:00	5.634	0.364	1.633
2009-02-01 07:00:00	5.157	0.613	1.802
2009-02-01 08:00:00	4.918	1.277	1.898
2009-02-04 06:00:00	3.848	0.306	2.324
2009-02-04 07:00:00	3.577	0.324	2.731
2009-02-07 06:00:00	4.34	0.347	1.69
2009-02-07 07:00:00	4.792	0.42	1.897
2009-02-07 08:00:00	4.488	0.48	1.962
2009-02-07 09:00:00	4.195	1.657	1.968
2009-02-08 06:00:00	5.222	0.399	2.148
2009-02-08 07:00:00	6.685	0.719	2.366
2009-02-08 08:00:00	6.17	1.012	2.473
2009-02-08 09:00:00	4.8	0.494	2.404
2009-02-08 10:00:00	6.406	1.88	2.223
2009-02-08 11:00:00	8.897	0.577	1.651
2009-02-15 06:00:00	5.31	0.557	1.956
2009-02-15 07:00:00	7.19	1.006	2.133
2009-02-15 08:00:00	7.238	0.707	2.3
2009-02-15 09:00:00	6.414	1.011	2.398
2009-02-15 10:00:00	8.526	0.552	2.368
2009-02-16 06:00:00	2.343	2.116	1.906
2009-02-18 06:00:00	4.901	0.655	1.703
2009-02-18 07:00:00	5.055	0.573	1.856
2009-02-18 08:00:00	6.694	3.02	1.997
2009-02-25 06:00:00	2.978	0.152	2.877
2009-02-25 07:00:00	2.989	0.532	2.862
2009-02-27 06:00:00	5.628	3.035	2.343
2009-03-05 06:00:00	4.009	0.714	2.964
2009-03-05 07:00:00	3.74	0.5	2.966
2009-03-05 08:00:00	4.324	0.362	2.968
2009-03-05 09:00:00	2.902	0.406	2.941
2009-03-11 06:00:00	5.026	0.403	2.984
2009-03-12 06:00:00	7.806	0.36	2.152
2009-03-12 07:00:00	7.31	0.482	2.349
2009-03-12 08:00:00	6.54	1.809	2.44
2009-03-12 09:00:00	5.855	0.321	2.558
2009-03-16 06:00:00	6.593	0.726	2.303
2009-03-16 07:00:00	9.589	0.4	2.504
2009-03-16 08:00:00	9.28	1.401	2.682
2009-03-16 09:00:00	6.865	3.708	2.768
2009-03-18 06:00:00	8.994	0.434	2.118
2009-03-18 07:00:00	9.678	0.407	2.194
2009-03-18 08:00:00	9.062	0.435	2.251
2009-03-18 09:00:00	7.639	2.374	2.325
2009-03-20 06:00:00	5.976	0.352	2.455
2009-03-24 06:00:00	6.092	0.966	2.318
2009-03-24 07:00:00	5.347	0.647	2.698
2009-03-24 08:00:00	5.731	1.697	3.011
2009-03-24 09:00:00	2.632	0.243	2.823
2009-03-30 06:00:00	8.424	0.351	2.889
2009-03-30 07:00:00	7.013	3.766	2.982
2009-03-31 06:00:00	7.413	0.482	2.818
2009-03-31 07:00:00	6.778	0.414	2.799
2009-03-31 08:00:00	5.687	0.615	2.872
2009-03-31 09:00:00	4.951	0.656	2.912
2009-04-01 06:00:00	6.06	0.582	2.01
2009-04-01 07:00:00	5.418	1.044	2.322
2009-04-01 08:00:00	7.145	0.696	2.493
2009-04-04 06:00:00	4.963	0.216	2.855
2009-04-04 07:00:00	4.623	0.372	2.639
2009-04-04 08:00:00	4.604	0.419	2.498
2009-04-04 09:00:00	4.213	0.346	2.27
2009-04-04 10:00:00	3.582	0.82	2.165
2009-04-04 11:00:00	3.951	0.808	1.998
2009-04-04 12:00:00	4.871	0.492	1.621
2009-04-05 06:00:00	6.448	1.014	2.437
2009-04-05 07:00:00	6.794	0.387	2.686
2009-04-05 08:00:00	6.124	0.631	2.867
2009-04-05 09:00:00	6.821	1.333	2.863
2009-04-05 10:00:00	6.35	1.709	2.679
2009-04-05 11:00:00	7.31	1.277	2.249
2009-04-10 06:00:00	8.674	0.386	2.528
2009-04-10 07:00:00	7.958	0.576	2.863
2009-04-10 08:00:00	8.354	0.526	2.97
2009-04-10 09:00:00	7.772	0.813	2.929
2009-04-10 10:00:00	7.886	0.943	2.753
2009-04-11 06:00:00	6.817	0.439	2.659
2009-04-11 07:00:00	7.946	1.327	2.883
2009-04-11 08:00:00	6.277	0.492	3.035
2009-04-11 09:00:00	5.236	2.016	3.019
2009-04-13 06:00:00	6.582	0.801	2.486
2009-04-13 07:00:00	6.5	0.86	2.652
2009-04-13 08:00:00	7.366	0.824	2.824
2009-04-13 09:00:00	6.394	0.575	2.914
2009-04-13 10:00:00	3.552	0.698	2.935
2009-04-14 06:00:00	5.817	0.884	2.727
2009-04-14 07:00:00	7.409	1.062	3.102
2009-04-14 08:00:00	7.021	1.025	3.118
2009-04-17 06:00:00	6.893	0.49	2.716
2009-04-17 07:00:00	5.987	0.457	2.721
2009-04-17 08:00:00	6.305	1.335	2.771
2009-04-18 06:00:00	7.085	0.43	2.667
2009-04-18 07:00:00	8.508	0.485	2.903
2009-04-18 08:00:00	7.727	0.873	2.951
2009-04-18 09:00:00	7.91	0.883	2.881
2009-04-18 10:00:00	5.322	3.366	2.77
2009-04-19 06:00:00	6.513	0.683	2.938
2009-04-19 07:00:00	6.638	0.904	3.049
2009-04-19 08:00:00	6.611	0.938	2.839
2009-04-19 09:00:00	6.042	1.076	2.76
2009-04-19 10:00:00	5.217	0.939	2.785
2009-04-23 06:00:00	5.425	1.643	2.894
2009-04-23 07:00:00	5.35	3.437	2.982
2009-04-26 06:00:00	6.272	0.265	2.915
2009-04-26 07:00:00	5.303	1.921	3.086
2009-04-27 06:00:00	5.65	0.387	2.253
2009-04-28 06:00:00	5.27	0.556	2.405
2009-04-28 07:00:00	5.275	2.971	2.655
2009-05-01 06:00:00	6.923	0.692	3.052
2009-05-01 07:00:00	6.013	2.518	3.158
2009-05-01 08:00:00	0.959	0.581	3.161
2009-05-02 06:00:00	6.893	0.737	2.84
2009-05-02 07:00:00	7.285	0.846	3.034
2009-05-02 08:00:00	6.407	2.214	3.09
2009-05-02 09:00:00	4.244	1.904	2.985
2009-05-03 06:00:00	2.672	2.412	2.627
2009-05-07 06:00:00	6.965	0.945	2.682
2009-05-07 07:00:00	6.57	2.741	2.829
2009-05-11 06:00:00	6.626	3.568	2.95
2009-05-11 08:00:00	7.157	3.102	3.029
2009-05-12 06:00:00	13.457	0.63	2.879
2009-05-12 07:00:00	12.42	1.779	3.046
2009-05-12 08:00:00	10.111	2.794	3.079
2009-05-13 06:00:00	10.357	1.296	3.097
2009-05-13 07:00:00	8.014	0.479	3.102
2009-05-13 08:00:00	8.968	0.766	3.107
2009-05-13 09:00:00	8.654	1.142	3.1
2009-05-13 10:00:00	7.345	0.64	3.078
2009-05-13 11:00:00	7.213	2.688	3.055
2009-05-13 12:00:00	6.451	1.082	2.682
2009-05-14 06:00:00	9.192	2.147	2.935
2009-05-14 07:00:00	9.628	4.936	2.974
2009-05-14 08:00:00	7.485	1.002	2.93
2009-05-14 09:00:00	6.414	0.884	2.875
2009-05-14 10:00:00	2.679	3.008	3.015
2009-05-14 11:00:00	6.57	3.38	2.729
2009-05-16 06:00:00	5.262	0.652	3.133
2009-05-16 07:00:00	4.988	0.325	3.14
2009-05-16 08:00:00	5.411	1.572	3.142
2009-05-16 09:00:00	5.073	0.638	3.144
2009-05-16 10:00:00	5.163	0.525	3.144
2009-05-16 11:00:00	4.946	1.559	3.144
2009-05-16 12:00:00	5.348	1.064	3.142
2009-05-17 06:00:00	9.076	1.116	2.643
2009-05-17 07:00:00	8.834	0.919	2.509
2009-05-17 08:00:00	7.928	0.823	2.457
2009-05-17 09:00:00	6.722	0.666	2.491
2009-05-17 10:00:00	6.41	0.613	2.477
2009-05-17 11:00:00	5.191	0.482	2.438
2009-05-18 06:00:00	10.601	1.023	2.889
2009-05-18 07:00:00	10.339	0.651	3.066
2009-05-18 08:00:00	9.495	0.704	3.129
2009-05-18 09:00:00	8.712	0.999	3.127
2009-05-18 10:00:00	8.408	0.82	3.139
2009-05-18 11:00:00	9.279	0.922	3.165
2009-05-18 12:00:00	6.899	1.921	3.047
2009-05-19 06:00:00	7.713	0.572	2.733
2009-05-19 07:00:00	7.53	0.625	2.894
2009-05-19 08:00:00	7.026	0.554	3.038
2009-05-19 09:00:00	5.813	1.448	3.023
2009-05-22 06:00:00	7.522	0.952	2.654
2009-05-22 07:00:00	5.891	1.001	2.846
2009-05-22 08:00:00	7.005	2.379	2.932
2009-05-23 06:00:00	5.708	1.679	2.649
2009-05-23 07:00:00	6.96	2.228	2.873
2009-05-23 08:00:00	5.565	1.548	2.988
2009-05-24 06:00:00	1.723	3.659	2.569
2009-05-25 06:00:00	6.656	0.778	2.706
2009-05-25 07:00:00	5.275	2.429	2.951
2009-05-26 06:00:00	7.266	0.764	2.871
2009-05-26 07:00:00	8.851	0.683	3.07
2009-05-26 08:00:00	9.956	0.966	3.098
2009-05-26 09:00:00	6.89	1.202	3.102
2009-05-26 10:00:00	9.783	3.973	3.095
2009-05-27 06:00:00	11.327	1.118	3.025
2009-05-27 07:00:00	6.793	1.53	3.094
2009-05-27 08:00:00	1.113	3.419	3.063
2009-05-27 09:00:00	9.078	2.991	2.965
2009-05-28 06:00:00	10.68	1.437	3.12
2009-05-28 07:00:00	10.049	1.191	3.127
2009-05-28 08:00:00	12.141	0.91	3.116
2009-05-28 09:00:00	12.078	0.589	3.101
2009-05-28 10:00:00	8.762	5.492	3.081
2009-05-28 12:00:00	5.129	3.894	2.892
2009-05-29 06:00:00	10.763	0.873	2.418
2009-05-29 07:00:00	9.684	3.449	2.583
2009-05-29 08:00:00	9.593	0.698	2.662
2009-05-29 09:00:00	8.962	0.977	2.63
2009-05-29 10:00:00	3.412	3.829	2.6
2009-05-29 11:00:00	2.429	2.418	2.467
2009-05-31 06:00:00	9.77	1.132	2.88
2009-05-31 07:00:00	10.892	2.144	3.012
2009-05-31 08:00:00	7.85	0.958	3.133
2009-05-31 09:00:00	7.159	1.179	3.145
2009-05-31 10:00:00	5.321	3.519	3.149
2009-06-02 07:00:00	6.934	1.513	2.401
2009-06-02 08:00:00	8.802	0.958	2.543
2009-06-03 06:00:00	5.132	0.568	3.18
2009-06-03 07:00:00	4.387	0.585	3.183
2009-06-03 08:00:00	4.435	0.46	3.187
2009-06-03 09:00:00	5.303	0.31	3.19
2009-06-03 11:00:00	4.15	2.0	3.192
2009-06-04 06:00:00	6.423	0.377	3.189
2009-06-04 07:00:00	6.155	0.857	3.193
2009-06-04 08:00:00	5.524	1.717	3.195
2009-06-05 06:00:00	5.763	1.127	2.755
2009-06-05 07:00:00	5.84	0.636	2.937
2009-06-05 08:00:00	6.473	0.844	2.952
2009-06-05 09:00:00	3.89	1.755	2.961
2009-06-05 10:00:00	1.768	0.525	2.829
2009-06-06 06:00:00	4.741	2.332	2.741
2009-06-06 07:00:00	5.39	2.677	2.836
2009-06-07 06:00:00	4.482	0.496	2.567
2009-06-07 07:00:00	4.57	0.895	2.733
2009-06-07 08:00:00	5.414	0.619	2.765
2009-06-07 09:00:00	4.788	1.964	2.779
2009-06-08 06:00:00	5.859	0.487	2.961
