Datetime	hanle_cloud%	merak_cloud%	Hanle pblh merra	Merak pblh merra
2018-01-01 04:55:00	97.714	99.886	1.78	1.686
2018-01-01 08:10:00	100.0	87.19	2.557	2.434
2018-01-01 17:35:00	53.391	76.5	1.415	1.2
2018-01-01 20:15:00	47.051	44.222	1.232	1.06
2018-01-02 05:40:00	23.534	56.582	1.895	1.642
2018-01-02 07:15:00	35.6	77.625	2.145	2.014
2018-01-02 16:40:00	24.591	21.822	1.065	0.914
2018-01-02 20:55:00	13.973	14.0	0.539	0.55
2018-01-03 04:45:00	82.4	-99.9	0.617	0.245
2018-01-03 06:20:00	16.522	44.32	1.557	1.174
2018-01-03 08:00:00	34.538	57.048	1.859	1.379
2018-01-03 17:25:00	38.546	83.454	0.911	0.99
2018-01-03 20:00:00	22.947	73.294	1.321	1.045
2018-01-04 05:25:00	14.103	40.884	1.295	1.146
2018-01-04 08:40:00	88.875	95.333	1.748	1.654
2018-01-04 16:30:00	99.873	98.267	0.997	0.78
2018-01-04 20:45:00	95.03	96.871	0.94	0.773
2018-01-05 06:10:00	51.79	85.619	2.084	1.836
2018-01-05 07:45:00	58.304	92.8	2.266	1.921
2018-01-05 17:10:00	47.371	80.571	1.213	2.015
2018-01-05 19:50:00	62.857	-99.9	0.873	1.809
2018-01-05 21:25:00	23.0	53.926	0.503	1.299
2018-01-06 05:15:00	33.222	59.125	1.819	1.346
2018-01-06 08:30:00	42.829	49.171	2.807	1.752
2018-01-06 16:15:00	28.865	48.216	0.608	0.654
2018-01-06 20:30:00	36.687	39.447	0.088	0.51
2018-01-07 05:55:00	12.632	34.625	2.783	1.617
2018-01-07 07:35:00	16.375	28.645	2.978	2.713
2018-01-07 17:00:00	28.333	45.292	0.948	1.403
2018-01-07 21:15:00	10.054	37.8	0.674	1.667
2018-01-08 05:00:00	43.111	61.6	2.062	2.449
2018-01-08 08:15:00	19.118	28.706	2.955	2.916
2018-01-08 16:05:00	25.231	49.692	1.288	1.617
2018-01-08 17:40:00	26.667	55.667	1.275	1.603
2018-01-08 20:20:00	25.465	45.03	1.264	1.601
2018-01-09 05:45:00	10.136	29.095	2.284	2.222
2018-01-09 07:20:00	9.231	21.128	3.094	3.008
2018-01-09 16:45:00	23.92	32.52	0.969	1.334
2018-01-09 21:05:00	11.932	24.762	0.97	1.273
2018-01-10 04:50:00	27.818	56.143	0.956	1.241
2018-01-10 06:25:00	-99.9	100.0	1.987	2.419
2018-01-10 06:30:00	-99.9	100.0	1.987	2.419
2018-01-10 08:05:00	20.21	90.19	2.115	2.864
2018-01-10 17:30:00	43.25	85.294	0.757	1.973
2018-01-10 20:05:00	-99.9	98.0	0.755	1.999
2018-01-10 20:10:00	77.021	88.5	0.755	1.999
2018-01-11 05:35:00	8.155	70.0	1.887	2.444
2018-01-11 07:10:00	11.13	96.154	2.407	2.801
2018-01-11 08:45:00	-99.9	100.0	2.456	2.818
2018-01-11 16:35:00	87.04	99.947	1.127	2.572
2018-01-11 20:50:00	98.897	99.348	1.257	1.883
2018-01-12 06:15:00	97.2	100.0	3.094	3.014
2018-01-12 07:50:00	97.941	99.8	3.09	3.009
2018-01-12 17:15:00	32.632	45.382	0.074	0.397
