Date	PT	Seeing_avg	Seeing_median	hanle_pblh_avg	hanle_pblh_median
2011-11-14	44	1.228	1.145	0.427	0.101
2011-11-15	1	1.06	1.06	0.527	0.219
2011-11-16	9	1.231	1.27	0.73	0.839
2011-11-18	193	1.208	1.2	0.511	0.356
2011-11-19	151	1.133	1.11	0.302	0.058
2011-11-20	259	1.106	1.09	0.629	0.686
2011-11-21	265	0.988	0.97	0.65	0.503
2011-11-22	258	1.336	1.33	0.648	0.578
2011-11-23	159	2.017	1.99	0.583	0.444
2011-11-24	164	1.319	1.315	0.238	0.058
2011-11-25	224	1.564	1.55	0.433	0.15
2011-11-26	13	1.478	1.47	0.748	0.887
2011-11-27	14	1.258	1.24	1.313	1.347
2011-12-02	135	2.198	2.18	1.215	1.624
2011-12-03	79	2.594	2.59	1.765	1.581
2011-12-04	190	2.175	2.15	1.686	1.539
2011-12-05	16	2.56	2.565	1.604	1.436
2011-12-06	15	2.381	2.32	0.766	0.592
2011-12-09	243	1.043	1.03	1.166	1.102
2011-12-10	192	1.22	1.18	0.424	0.305
2011-12-11	155	1.22	1.19	0.245	0.056
2011-12-12	115	2.361	2.54	1.149	1.822
2011-12-13	197	1.866	1.83	1.563	1.423
2011-12-14	162	1.622	1.59	0.433	0.345
2011-12-15	13	1.765	1.74	0.54	0.463
2011-12-17	177	1.42	1.35	1.011	0.949
2011-12-18	1	1.1	1.1	0.405	0.232
2011-12-19	13	1.365	1.27	0.907	1.283
2011-12-20	117	1.772	1.66	1.679	1.613
2011-12-21	1	1.64	1.64	0.975	0.815
2011-12-22	17	1.461	1.44	0.807	0.517
2011-12-23	87	1.645	1.59	0.276	0.201
2011-12-24	127	1.476	1.46	0.316	0.19
2011-12-25	37	2.067	2.05	0.311	0.2
2011-12-26	147	1.553	1.52	0.28	0.107
2011-12-31	180	1.631	1.54	0.985	0.918
2012-01-02	249	1.483	1.48	0.555	0.504
2012-01-03	13	1.05	1.04	0.993	1.069
2012-01-04	17	1.146	1.1	1.307	1.204
2012-01-09	77	1.174	1.15	1.134	0.863
2012-01-10	251	1.015	1.02	0.339	0.146
2012-01-11	1	0.86	0.86	0.666	0.711
2012-01-12	269	1.13	1.11	0.974	0.723
2012-01-13	265	1.274	1.25	0.582	0.668
2012-01-14	152	1.766	1.74	1.778	1.68
2012-01-15	20	1.557	1.535	1.625	1.594
2012-01-16	226	1.744	1.72	1.357	1.235
2012-01-17	183	1.663	1.63	0.851	0.76
2012-01-18	254	1.399	1.35	0.884	1.09
2012-01-19	96	1.87	1.875	1.008	0.948
2012-01-20	73	2.068	2.01	0.468	0.372
2012-01-21	160	1.775	1.75	0.673	0.451
2012-01-22	1	2.49	2.49	0.666	0.353
2012-01-23	239	1.885	1.86	0.527	0.095
2012-01-24	34	2.151	2.085	0.414	0.491
2012-01-25	199	1.629	1.56	1.21	1.019
2012-01-26	150	1.51	1.485	0.776	0.786
2012-01-27	1	0.89	0.89	0.737	0.749
2012-01-28	235	1.116	1.11	0.563	0.342
2012-01-29	241	1.204	1.14	0.337	0.122
2012-01-30	199	1.699	1.66	0.29	0.103
2012-01-31	209	1.441	1.37	1.12	1.627
2012-02-01	238	1.249	1.22	1.151	0.931
2012-02-02	14	1.196	1.195	0.504	0.47
2012-02-03	3	0.987	1.02	1.174	1.222
2012-02-17	89	2.241	2.25	0.89	0.601
2012-02-18	1	2.75	2.75	1.203	1.144
2012-02-19	14	2.613	2.65	1.881	1.989
2012-03-14	197	1.116	1.06	1.917	1.829
2012-03-15	2	1.55	1.55	0.961	0.911
2012-03-16	208	1.586	1.57	0.789	0.777
2012-03-17	190	1.772	1.735	1.072	0.876
2012-03-18	14	1.324	1.335	1.264	1.17
2012-03-19	9	1.427	1.39	2.016	1.974
2012-03-20	214	1.594	1.56	2.272	2.629
2012-03-21	228	1.449	1.42	1.279	0.999
2012-03-22	185	2.037	2.0	1.029	0.52
2012-03-23	19	1.554	1.49	1.069	0.539
2012-03-24	19	1.344	1.26	0.701	0.257
2012-03-25	12	2.187	2.195	0.779	0.554
2012-03-26	164	1.791	1.72	1.161	1.175
2012-03-27	132	0.803	0.815	0.643	0.337
2012-03-28	222	0.979	0.95	0.608	0.192
2012-03-29	205	1.156	1.13	0.875	0.824
2012-03-30	167	1.136	1.13	0.923	0.637
2012-03-31	2	1.095	1.095	0.719	0.234
2012-04-01	191	0.897	0.89	0.706	0.313
2012-04-02	195	1.168	1.17	0.929	0.685
2012-04-03	102	0.996	0.955	1.233	1.049
2012-04-04	208	1.015	0.98	1.255	0.87
2012-04-05	56	1.147	1.14	1.439	1.193
2012-04-06	191	1.369	1.31	1.347	1.11
2012-04-07	1	0.97	0.97	1.113	0.837
2012-04-08	207	1.061	1.01	1.135	0.772
2012-04-09	177	1.274	1.27	0.928	0.559
2012-04-10	2	1.05	1.05	1.1	0.804
2012-04-12	124	1.819	1.82	1.063	0.755
2012-04-13	25	1.954	1.96	0.896	0.517
2012-04-16	144	1.608	1.635	1.208	0.529
2012-04-17	155	1.274	1.24	1.071	0.931
2012-04-18	181	1.156	1.08	1.03	0.433
2012-04-19	85	1.094	1.06	0.853	0.217
2012-04-20	120	1.304	1.265	0.91	0.513
2012-04-22	76	1.081	1.06	1.473	1.089
2012-04-24	151	0.727	0.73	1.326	0.922
2012-04-25	131	1.0	0.96	1.113	0.648
2012-05-16	165	0.956	0.86	1.773	1.817
2012-05-17	104	0.955	0.9	1.381	1.033
2012-06-03	116	1.059	1.045	1.491	1.321
2012-06-05	12	1.006	0.98	1.381	1.021
2012-06-28	102	1.488	1.37	0.979	0.356
2012-07-17	145	0.773	0.69	1.718	1.61
2012-08-29	125	0.786	0.72	1.103	0.879
2012-08-31	55	0.904	0.79	1.177	1.047
2012-09-20	202	1.534	1.52	1.011	0.796
2012-09-21	191	1.365	1.29	0.886	0.567
2012-09-25	212	1.415	1.375	1.269	0.96
2012-09-26	190	1.271	1.24	0.957	0.675
2012-09-28	67	1.79	1.8	0.965	0.606
2012-09-29	115	1.561	1.55	0.714	0.347
2012-10-06	170	1.294	1.245	1.141	1.033
2012-10-07	190	1.131	1.075	1.805	1.786
2012-10-08	2	0.95	0.95	1.593	1.23
2012-10-09	235	0.613	0.62	1.503	1.185
2012-10-10	1	0.59	0.59	1.27	0.991
2012-10-11	1	0.59	0.59	1.37	1.178
2012-10-12	180	0.798	0.785	1.555	1.333
2012-10-13	175	1.23	1.22	1.44	1.296
2012-10-14	232	0.922	0.91	1.697	1.653
2012-10-15	1	0.87	0.87	1.42	1.179
2012-10-17	182	1.177	1.16	1.074	0.982
2012-10-18	1	1.13	1.13	1.462	1.484
2012-10-19	190	1.311	1.21	1.22	1.133
2012-10-20	1	1.34	1.34	0.868	0.577
2012-10-21	1	1.43	1.43	1.072	1.061
2012-10-24	75	0.627	0.63	1.607	1.511
2012-10-25	145	0.705	0.69	1.453	1.229
2012-10-26	155	0.69	0.69	1.97	2.043
2012-10-27	241	0.771	0.76	1.978	1.77
2012-10-28	6	0.63	0.62	1.653	1.457
2012-10-29	261	0.654	0.65	1.677	1.559
2012-10-30	1	0.66	0.66	1.679	1.673
2012-10-31	5	0.56	0.56	1.178	1.029
2012-11-01	241	1.068	1.03	0.715	0.524
2012-11-02	1	1.05	1.05	0.561	0.28
2012-11-03	5	0.886	0.92	0.421	0.137
2012-11-06	264	0.831	0.89	1.51	1.643
2012-11-07	123	0.751	0.75	1.094	1.034
2012-11-08	170	0.766	0.76	1.514	1.454
2012-11-09	91	0.71	0.68	1.333	0.963
2012-11-10	83	0.698	0.75	1.361	1.257
2012-11-12	229	1.054	1.07	1.052	0.937
2012-11-13	1	1.14	1.14	0.616	0.448
2012-11-14	12	1.046	1.025	1.931	2.042
2012-11-15	157	1.281	1.28	0.742	0.607
2012-11-16	96	1.606	1.53	0.469	0.377
2012-11-17	62	1.433	1.365	0.725	0.568
2012-11-19	211	2.084	2.1	0.926	0.861
2012-11-20	1	1.78	1.78	0.738	0.537
