date	hanle_pblh_era5_avg	merak_pblh_era5_avg	hanle_pblh_era5_median	merak_pblh_era5_median
1979-01-01	0.14310448	0.14310448	0.026772827	0.026772827
1979-01-02	0.2741873	0.2741873	0.02839148	0.02839148
1979-01-03	0.16769163	0.16769163	0.020500245	0.020500245
1979-01-04	0.1527494	0.1527494	0.017734986	0.017734986
1979-01-05	0.14133964	0.14133964	0.016150024	0.016150024
1979-01-06	0.13930498	0.13930498	0.041611083	0.041611083
1979-01-07	0.26078784	0.26078784	0.038306154	0.038306154
1979-01-08	0.20222442	0.20222442	0.052436404	0.052436404
1979-01-09	0.4607591	0.4607591	0.054223634	0.054223634
1979-01-10	0.14979014	0.14979014	0.045725342	0.045725342
1979-01-11	0.1966291	0.1966291	0.07132141	0.07132141
1979-01-12	0.24369574	0.24369574	0.054055054	0.054055054
1979-01-13	0.35463443	0.35463443	0.069837645	0.069837645
1979-01-14	0.31124648	0.31124648	0.10022241	0.10022241
1979-01-15	0.36842167	0.36842167	0.10878809	0.10878809
1979-01-16	0.6242951	0.6242951	0.08686792	0.08686792
1979-01-17	0.10069451	0.10069451	0.031696413	0.031696413
1979-01-18	0.16016854	0.16016854	0.09732227	0.09732227
1979-01-19	0.38055086	0.38055086	0.19181512	0.19181512
1979-01-20	0.61741275	0.61741275	0.15003186	0.15003186
1979-01-21	0.16355209	0.16355209	0.08130359	0.08130359
1979-01-22	0.13755699	0.13755699	0.038306274	0.038306274
1979-01-23	0.10125376	0.10125376	0.020567749	0.020567749
1979-01-24	0.10684905	0.10684905	0.02889746	0.02889746
1979-01-25	0.18539643	0.18539643	0.11337452	0.11337452
1979-01-26	0.44185996	0.44185996	0.15971045	0.15971045
1979-01-27	0.52925414	0.52925414	0.2136004	0.2136004
1979-01-28	0.58385235	0.58385235	0.19970636	0.19970636
1979-01-29	0.7674987	0.7674987	0.09711987	0.09711987
1979-01-30	0.36706713	0.36706713	0.047647707	0.047647707
1979-01-31	0.14289655	0.14289655	0.07543567	0.07543567
1979-02-01	0.2747381	0.2747381	0.07304138	0.07304138
1979-02-02	0.13197015	0.13197015	0.035406128	0.035406128
1979-02-03	0.06252245	0.06252245	0.023872558	0.023872558
1979-02-04	0.08995081	0.08995081	0.039216794	0.039216794
