date	hanle_pblh_era5_avg	merak_pblh_era5_avg	hanle_pblh_era5_median	merak_pblh_era5_median
1979-01-01	0.25339964	0.25339964	0.11836553	0.11836553
1979-01-02	0.51326084	0.51326084	0.15394373	0.15394373
1979-01-03	0.30662078	0.30662078	0.12824658	0.12824658
1979-01-04	0.27881587	0.27881587	0.14102772	0.14102772
1979-01-05	0.258357	0.258357	0.13674481	0.13674481
1979-01-06	0.24113557	0.24113557	0.12187274	0.12187274
1979-01-07	0.47486112	0.47486112	0.1591372	0.1591372
1979-01-08	0.35302415	0.35302415	0.2720093	0.2720093
1979-01-09	0.8627419	0.8627419	0.48854718	0.48854718
1979-01-10	0.25561413	0.25561413	0.14800848	0.14800848
1979-01-11	0.3439413	0.3439413	0.20432648	0.20432648
1979-01-12	0.4323078	0.4323078	0.24398518	0.24398518
1979-01-13	0.64349496	0.64349496	0.5493842	0.5493842
1979-01-14	0.49630356	0.49630356	0.6090746	0.6090746
1979-01-15	0.6331475	0.6331475	0.47816035	0.47816035
1979-01-16	1.1426461	1.1426461	1.1162069	1.1162069
1979-01-17	0.16186312	0.16186312	0.09964917	0.09964917
1979-01-18	0.24930227	0.24930227	0.21879382	0.21879382
1979-01-19	0.60266715	0.60266715	0.38302672	0.38302672
1979-01-20	1.0947307	1.0947307	1.2792932	1.2792932
1979-01-21	0.2624881	0.2624881	0.2492798	0.2492798
1979-01-22	0.24192807	0.24192807	0.13451904	0.13451904
1979-01-23	0.17962971	0.17962971	0.09641162	0.09641162
1979-01-24	0.18505357	0.18505357	0.08683423	0.08683423
1979-01-25	0.3025627	0.3025627	0.2340705	0.2340705
1979-01-26	0.75963265	0.75963265	0.48345494	0.48345494
1979-01-27	0.8764224	0.8764224	0.59659696	0.59659696
1979-01-28	1.0012889	1.0012889	0.9682287	0.9682287
1979-01-29	1.4438634	1.4438634	1.8182267	1.8182267
1979-01-30	0.68265903	0.68265903	0.2951773	0.2951773
1979-01-31	0.21759105	0.21759105	0.18422735	0.18422735
