year	month	hanle_pblh_era5_avg	merak_pblh_era5_avg	hanle_pblh_era5_median	merak_pblh_era5_median
1979	1	0.2895718	0.2895718	0.0800896	0.0800896
1979	2	0.24444166	0.24444166	0.05075012	0.05075012
1979	3	0.32350558	0.32350558	0.06997253	0.06997253
1979	4	0.22474524	0.22474524	0.0510199	0.0510199
1979	5	0.64761716	0.64761716	0.25929564	0.25929564
1979	6	0.8996858	0.8996858	0.42791253	0.42791253
1979	7	1.1541424	1.1541424	0.93757415	0.93757415
1979	8	1.0963005	1.0963005	0.7783997	0.7783997
1979	9	0.98913074	0.98913074	0.4293626	0.4293626
1979	10	0.9135908	0.9135908	0.1853402	0.1853402
1979	11	0.55521244	0.55521244	0.09597327	0.09597327
1979	12	0.4501893	0.4501893	0.07975232	0.07975232
1980	1	0.34222952	0.34222952	0.093988344	0.093988344
1980	2	0.36021543	0.36021543	0.115306705	0.115306705
1980	3	0.34389058	0.34389058	0.08811554	0.08811554
1980	4	0.44425097	0.44425097	0.11609961	0.11609961
1980	5	0.802152	0.802152	0.3841942	0.3841942
1980	6	1.2697651	1.2697651	1.1582623	1.1582623
1980	7	0.81034446	0.81034446	0.49113843	0.49113843
1980	8	0.8864228	0.8864228	0.43023717	0.43023717
1980	9	1.059368	1.059368	0.5898607	0.5898607
1980	10	1.0734394	1.0734394	0.47551668	0.47551668
1980	11	0.6536938	0.6536938	0.08071576	0.08071576
1980	12	0.62072784	0.62072784	0.106967285	0.106967285
1981	1	0.46122962	0.46122962	0.08777246	0.08777246
1981	2	0.25095436	0.25095436	0.08764258	0.08764258
1981	3	0.21433847	0.21433847	0.051208742	0.051208742
1981	4	0.47020972	0.47020972	0.08582581	0.08582581
1981	5	1.1116614	1.1116614	0.8891236	0.8891236
1981	6	1.3262323	1.3262323	1.1858832	1.1858832
1981	7	0.9843752	0.9843752	0.63035536	0.63035536
1981	8	0.9361284	0.9361284	0.5307217	0.5307217
1981	9	1.1848712	1.1848712	0.8668675	0.8668675
1981	10	1.0559658	1.0559658	0.54279065	0.54279065
1981	11	0.14095856	0.14095856	0.03995093	0.03995093
1981	12	0.20339058	0.20339058	0.042254396	0.042254396
1982	1	0.27382508	0.27382508	0.07076514	0.07076514
1982	2	0.29066917	0.29066917	0.07846759	0.07846759
1982	3	0.21260945	0.21260945	0.07461633	0.07461633
1982	4	0.20657736	0.20657736	0.056287903	0.056287903
1982	5	0.4769116	0.4769116	0.1323004	0.1323004
1982	6	0.7923405	0.7923405	0.36272734	0.36272734
1982	7	0.9806434	0.9806434	0.5576781	0.5576781
1982	8	0.8005266	0.8005266	0.42406586	0.42406586
1982	9	1.1053843	1.1053843	0.6546334	0.6546334
1982	10	0.8784795	0.8784795	0.19701228	0.19701228
1982	11	0.64999676	0.64999676	0.13314374	0.13314374
1982	12	0.29672566	0.29672566	0.101265684	0.101265684
1983	1	0.14848277	0.14848277	0.056865845	0.056865845
1983	2	0.1648983	0.1648983	0.051392272	0.051392272
1983	3	0.24855898	0.24855898	0.08322314	0.08322314
1983	4	0.21206442	0.21206442	0.066605955	0.066605955
1983	5	0.29626015	0.29626015	0.07828283	0.07828283
1983	6	0.81913257	0.81913257	0.3139267	0.3139267
1983	7	0.91241735	0.91241735	0.54819506	0.54819506
1983	8	0.7440432	0.7440432	0.3690552	0.3690552
1983	9	0.9247099	0.9247099	0.41522962	0.41522962
1983	10	0.96628094	0.96628094	0.3083689	0.3083689
1983	11	0.79530096	0.79530096	0.079321474	0.079321474
1983	12	0.60419613	0.60419613	0.0993631	0.0993631
1984	1	0.5548625	0.5548625	0.122933835	0.122933835
1984	2	0.5056874	0.5056874	0.11461273	0.11461273
1984	3	0.20062166	0.20062166	0.062014647	0.062014647
1984	4	0.39274794	0.39274794	0.10444928	0.10444928
1984	5	0.9331089	0.9331089	0.40655822	0.40655822
1984	6	1.2864704	1.2864704	1.1464627	1.1464627
1984	7	0.7956198	0.7956198	0.47751808	0.47751808
1984	8	0.6704922	0.6704922	0.29896703	0.29896703
1984	9	1.0002534	1.0002534	0.51586896	0.51586896
1984	10	1.0324897	1.0324897	0.49213374	0.49213374
1984	11	0.73855925	0.73855925	0.08897381	0.08897381
1984	12	0.56458324	0.56458324	0.16094697	0.16094697
1985	1	0.12367837	0.12367837	0.05330371	0.05330371
1985	2	0.18508567	0.18508567	0.05265289	0.05265289
1985	3	0.61049694	0.61049694	0.16882807	0.16882807
1985	4	0.46827686	0.46827686	0.14172241	0.14172241
1985	5	0.6430145	0.6430145	0.22530285	0.22530285
1985	6	1.0282983	1.0282983	0.6692358	0.6692358
1985	7	0.769875	0.769875	0.42862362	0.42862362
1985	8	0.8297739	0.8297739	0.4278031	0.4278031
1985	9	1.1055021	1.1055021	0.6165241	0.6165241
1985	10	0.7375421	0.7375421	0.15784997	0.15784997
1985	11	0.5959951	0.5959951	0.12013403	0.12013403
1985	12	0.42716798	0.42716798	0.11340009	0.11340009
1986	1	0.2493569	0.2493569	0.06430811	0.06430811
1986	2	0.3126744	0.3126744	0.08354364	0.08354364
1986	3	0.40817714	0.40817714	0.15509985	0.15509985
1986	4	0.32015082	0.32015082	0.09745477	0.09745477
1986	5	0.66545004	0.66545004	0.23262677	0.23262677
1986	6	0.873723	0.873723	0.4106402	0.4106402
1986	7	0.75483686	0.75483686	0.42131978	0.42131978
1986	8	0.72756994	0.72756994	0.329143	0.329143
1986	9	1.0068673	1.0068673	0.48391986	0.48391986
1986	10	0.31174582	0.31174582	0.04005591	0.04005591
1986	11	0.5101981	0.5101981	0.088560306	0.088560306
1986	12	0.17191403	0.17191403	0.05298224	0.05298224
1987	1	0.12344545	0.12344545	0.05009253	0.05009253
1987	2	0.27720374	0.27720374	0.07040802	0.07040802
1987	3	0.20860597	0.20860597	0.07055189	0.07055189
1987	4	0.36995533	0.36995533	0.11247779	0.11247779
1987	5	0.4730589	0.4730589	0.19215697	0.19215697
1987	6	0.79941726	0.79941726	0.35217738	0.35217738
1987	7	1.0685754	1.0685754	0.9078891	0.9078891
1987	8	0.9008098	0.9008098	0.47309184	0.47309184
1987	9	1.1460929	1.1460929	0.7202444	0.7202444
1987	10	0.8901199	0.8901199	0.350681	0.350681
1987	11	0.5491459	0.5491459	0.10890961	0.10890961
1987	12	0.43321937	0.43321937	0.07970251	0.07970251
1988	1	0.25783682	0.25783682	0.09081091	0.09081091
1988	2	0.4090868	0.4090868	0.110568784	0.110568784
1988	3	0.18739156	0.18739156	0.071357	0.071357
1988	4	0.18167125	0.18167125	0.055945862	0.055945862
1988	5	0.85317385	0.85317385	0.2940739	0.2940739
1988	6	1.1200936	1.1200936	0.962559	0.962559
1988	7	0.8576176	0.8576176	0.54244566	0.54244566
1988	8	0.75994474	0.75994474	0.37918475	0.37918475
1988	9	1.0113397	1.0113397	0.4414981	0.4414981
1988	10	0.8969225	0.8969225	0.2623397	0.2623397
1988	11	0.66900927	0.66900927	0.060323	0.060323
1988	12	0.4287407	0.4287407	0.080141604	0.080141604
1989	1	0.204768	0.204768	0.06900256	0.06900256
1989	2	0.30890793	0.30890793	0.09983044	0.09983044
1989	3	0.28552762	0.28552762	0.08373828	0.08373828
1989	4	0.39882964	0.39882964	0.12054688	0.12054688
1989	5	0.68365353	0.68365353	0.23491858	0.23491858
1989	6	1.0424747	1.0424747	0.63894963	0.63894963
1989	7	1.1002167	1.1002167	0.8594003	0.8594003
1989	8	0.9688517	0.9688517	0.69989645	0.69989645
1989	9	1.0591613	1.0591613	0.5471748	0.5471748
1989	10	1.0290732	1.0290732	0.4280865	0.4280865
1989	11	0.5805372	0.5805372	0.122211546	0.122211546
1989	12	0.1734816	0.1734816	0.043199524	0.043199524
1990	1	0.30299905	0.30299905	0.10576593	0.10576593
1990	2	0.21342492	0.21342492	0.08474842	0.08474842
1990	3	0.17476484	0.17476484	0.046206117	0.046206117
1990	4	0.20802312	0.20802312	0.0712887	0.0712887
1990	5	0.47695905	0.47695905	0.06842816	0.06842816
1990	6	1.0617868	1.0617868	0.85336435	0.85336435
1990	7	0.9500152	0.9500152	0.65526336	0.65526336
1990	8	0.89322364	0.89322364	0.47805956	0.47805956
1990	9	1.0608692	1.0608692	0.65845513	0.65845513
1990	10	0.9775741	0.9775741	0.2922439	0.2922439
1990	11	0.6929523	0.6929523	0.07878631	0.07878631
1990	12	0.53095293	0.53095293	0.14165832	0.14165832
1991	1	0.096242696	0.096242696	0.049379516	0.049379516
1991	2	0.30263716	0.30263716	0.117321536	0.117321536
1991	3	0.1849189	0.1849189	0.085030824	0.085030824
1991	4	0.21029851	0.21029851	0.059724182	0.059724182
1991	5	0.31326404	0.31326404	0.10607092	0.10607092
1991	6	0.66709507	0.66709507	0.31638446	0.31638446
1991	7	1.0436077	1.0436077	0.79370296	0.79370296
1991	8	1.1472554	1.1472554	1.0327423	1.0327423
1991	9	1.0268248	1.0268248	0.5475043	0.5475043
1991	10	1.1782199	1.1782199	0.80191445	0.80191445
1991	11	0.9792217	0.9792217	0.20963508	0.20963508
1991	12	0.5623223	0.5623223	0.085439876	0.085439876
1992	1	0.37953725	0.37953725	0.1346255	0.1346255
1992	2	0.13578917	0.13578917	0.04937988	0.04937988
1992	3	0.3896672	0.3896672	0.15197358	0.15197358
1992	4	0.22593233	0.22593233	0.07358264	0.07358264
1992	5	0.59034294	0.59034294	0.17399964	0.17399964
1992	6	0.9824499	0.9824499	0.6326823	0.6326823
1992	7	0.8800394	0.8800394	0.51300055	0.51300055
1992	8	0.87282884	0.87282884	0.47596544	0.47596544
1992	9	1.1107129	1.1107129	0.96823955	0.96823955
1992	10	1.0958825	1.0958825	0.2970276	0.2970276
1992	11	0.6627884	0.6627884	0.075921625	0.075921625
1992	12	0.4329935	0.4329935	0.06435633	0.06435633
1993	1	0.2397694	0.2397694	0.07873914	0.07873914
1993	2	0.33334985	0.33334985	0.07162854	0.07162854
1993	3	0.22362344	0.22362344	0.0749967	0.0749967
1993	4	0.33068955	0.33068955	0.05631824	0.05631824
1993	5	1.0281852	1.0281852	0.61422205	0.61422205
1993	6	1.377232	1.377232	1.2043452	1.2043452
1993	7	1.0177884	1.0177884	0.77511525	0.77511525
1993	8	1.237225	1.237225	1.1354494	1.1354494
1993	9	0.8461083	0.8461083	0.3117945	0.3117945
1993	10	1.1578655	1.1578655	0.6015996	0.6015996
1993	11	0.6257143	0.6257143	0.116266236	0.116266236
1993	12	0.40463933	0.40463933	0.074248165	0.074248165
1994	1	0.37688017	0.37688017	0.11400525	0.11400525
1994	2	0.17472818	0.17472818	0.080654055	0.080654055
1994	3	0.17506947	0.17506947	0.07126452	0.07126452
1994	4	0.30274326	0.30274326	0.09987061	0.09987061
1994	5	0.505527	0.505527	0.1382362	0.1382362
1994	6	0.9766393	0.9766393	0.6557025	0.6557025
1994	7	0.8144837	0.8144837	0.49439806	0.49439806
1994	8	0.59750646	0.59750646	0.33097357	0.33097357
1994	9	0.9560245	0.9560245	0.5318888	0.5318888
1994	10	1.115017	1.115017	0.48645574	0.48645574
1994	11	0.76037055	0.76037055	0.08263965	0.08263965
1994	12	0.45509773	0.45509773	0.1005437	0.1005437
1995	1	0.11784436	0.11784436	0.049625244	0.049625244
1995	2	0.1929597	0.1929597	0.056040954	0.056040954
1995	3	0.31224436	0.31224436	0.07622235	0.07622235
1995	4	0.52861184	0.52861184	0.2018891	0.2018891
1995	5	0.91761786	0.91761786	0.4926822	0.4926822
1995	6	1.108406	1.108406	0.95476824	0.95476824
1995	7	1.2110327	1.2110327	1.0828643	1.0828643
1995	8	0.60740525	0.60740525	0.33777106	0.33777106
1995	9	0.9405183	0.9405183	0.5227986	0.5227986
1995	10	0.9924625	0.9924625	0.33730394	0.33730394
1995	11	0.6041532	0.6041532	0.09017493	0.09017493
1995	12	0.39155522	0.39155522	0.12163055	0.12163055
1996	1	0.33662188	0.33662188	0.10320684	0.10320684
