year	month	hanle_pblh_era5	merak_pblh_era5
1979	1	0.2895718	0.2895718
1979	2	0.24444166	0.24444166
1979	3	0.32350558	0.32350558
1979	4	0.22474524	0.22474524
1979	5	0.64761716	0.64761716
1979	6	0.8996858	0.8996858
1979	7	1.1541424	1.1541424
1979	8	1.0963005	1.0963005
1979	9	0.98913074	0.98913074
1979	10	0.9135908	0.9135908
1979	11	0.55521244	0.55521244
1979	12	0.4501893	0.4501893
1980	1	0.34222952	0.34222952
1980	2	0.36021543	0.36021543
1980	3	0.34389058	0.34389058
1980	4	0.44425097	0.44425097
1980	5	0.802152	0.802152
1980	6	1.2697651	1.2697651
1980	7	0.81034446	0.81034446
1980	8	0.8864228	0.8864228
1980	9	1.059368	1.059368
1980	10	1.0734394	1.0734394
1980	11	0.6536938	0.6536938
1980	12	0.62072784	0.62072784
1981	1	0.46122962	0.46122962
1981	2	0.25095436	0.25095436
1981	3	0.21433847	0.21433847
1981	4	0.47020972	0.47020972
1981	5	1.1116614	1.1116614
1981	6	1.3262323	1.3262323
1981	7	0.9843752	0.9843752
1981	8	0.9361284	0.9361284
1981	9	1.1848712	1.1848712
1981	10	1.0559658	1.0559658
1981	11	0.14095856	0.14095856
1981	12	0.20339058	0.20339058
1982	1	0.27382508	0.27382508
1982	2	0.29066917	0.29066917
1982	3	0.21260945	0.21260945
1982	4	0.20657736	0.20657736
1982	5	0.4769116	0.4769116
1982	6	0.7923405	0.7923405
1982	7	0.9806434	0.9806434
1982	8	0.8005266	0.8005266
1982	9	1.1053843	1.1053843
1982	10	0.8784795	0.8784795
1982	11	0.64999676	0.64999676
1982	12	0.29672566	0.29672566
1983	1	0.14848277	0.14848277
1983	2	0.1648983	0.1648983
1983	3	0.24855898	0.24855898
1983	4	0.21206442	0.21206442
1983	5	0.29626015	0.29626015
1983	6	0.81913257	0.81913257
1983	7	0.91241735	0.91241735
1983	8	0.7440432	0.7440432
1983	9	0.9247099	0.9247099
1983	10	0.96628094	0.96628094
1983	11	0.79530096	0.79530096
1983	12	0.60419613	0.60419613
1984	1	0.5548625	0.5548625
1984	2	0.5056874	0.5056874
1984	3	0.20062166	0.20062166
1984	4	0.39274794	0.39274794
1984	5	0.9331089	0.9331089
1984	6	1.2864704	1.2864704
1984	7	0.7956198	0.7956198
1984	8	0.6704922	0.6704922
1984	9	1.0002534	1.0002534
1984	10	1.0324897	1.0324897
1984	11	0.73855925	0.73855925
1984	12	0.56458324	0.56458324
1985	1	0.12367837	0.12367837
1985	2	0.18508567	0.18508567
1985	3	0.61049694	0.61049694
1985	4	0.46827686	0.46827686
1985	5	0.6430145	0.6430145
1985	6	1.0282983	1.0282983
1985	7	0.769875	0.769875
1985	8	0.8297739	0.8297739
1985	9	1.1055021	1.1055021
1985	10	0.7375421	0.7375421
1985	11	0.5959951	0.5959951
1985	12	0.42716798	0.42716798
1986	1	0.2493569	0.2493569
1986	2	0.3126744	0.3126744
1986	3	0.40817714	0.40817714
1986	4	0.32015082	0.32015082
