date	hanle_pblh_era5_avg	merak_pblh_era5_avg	hanle_pblh_era5_median	merak_pblh_era5_median
1979-01-01	0.032809306	0.032809306	0.026772827	0.026772827
1979-01-02	0.03511379	0.03511379	0.02764966	0.02764966
1979-01-03	0.028762491	0.028762491	0.020500245	0.020500245
1979-01-04	0.026682943	0.026682943	0.016824463	0.016824463
1979-01-05	0.024322286	0.024322286	0.016150024	0.016150024
1979-01-06	0.037474386	0.037474386	0.04066687	0.04066687
1979-01-07	0.0467146	0.0467146	0.038002685	0.038002685
1979-01-08	0.051424682	0.051424682	0.05048047	0.05048047
1979-01-09	0.058776326	0.058776326	0.047681272	0.047681272
1979-01-10	0.043966167	0.043966167	0.03699109	0.03699109
1979-01-11	0.049316917	0.049316917	0.046602175	0.046602175
1979-01-12	0.05508364	0.05508364	0.04761389	0.04761389
1979-01-13	0.06577393	0.06577393	0.06079968	0.06079968
1979-01-14	0.1261894	0.1261894	0.09482665	0.09482665
1979-01-15	0.103695884	0.103695884	0.098671146	0.098671146
1979-01-16	0.105944134	0.105944134	0.055572636	0.055572636
1979-01-17	0.0395259	0.0395259	0.030280031	0.030280031
1979-01-18	0.07103481	0.07103481	0.08440613	0.08440613
1979-01-19	0.15843457	0.15843457	0.1471991	0.1471991
1979-01-20	0.1400947	0.1400947	0.10555066	0.10555066
1979-01-21	0.06461609	0.06461609	0.055100463	0.055100463
1979-01-22	0.033185914	0.033185914	0.026300782	0.026300782
1979-01-23	0.022877807	0.022877807	0.019319946	0.019319946
1979-01-24	0.028644532	0.028644532	0.02832422	0.02832422
1979-01-25	0.068230145	0.068230145	0.07341236	0.07341236
1979-01-26	0.12408728	0.12408728	0.11897254	0.11897254
1979-01-27	0.18208593	0.18208593	0.16223961	0.16223961
1979-01-28	0.16641581	0.16641581	0.11374548	0.11374548
1979-01-29	0.09113395	0.09113395	0.074221686	0.074221686
1979-01-30	0.051475238	0.051475238	0.042791504	0.042791504
1979-01-31	0.06820205	0.06820205	0.073513426	0.073513426
1979-02-01	0.06657207	0.06657207	0.050041996	0.050041996
1979-02-02	0.0307972	0.0307972	0.025390258	0.025390258
1979-02-03	0.022276387	0.022276387	0.021174682	0.021174682
1979-02-04	0.038553547	0.038553547	0.038272463	0.038272463
1979-02-05	0.037440654	0.037440654	0.034124512	0.034124512
1979-02-06	0.039126873	0.039126873	0.031797606	0.031797606
1979-02-07	0.028532064	0.028532064	0.019623414	0.019623414
1979-02-08	0.01989325	0.01989325	0.013890503	0.013890503
1979-02-09	0.025429524	0.025429524	0.024783203	0.024783203
1979-02-10	0.033590656	0.033590656	0.029673096	0.029673096
1979-02-11	0.027025778	0.027025778	0.02060144	0.02060144
1979-02-12	0.037704833	0.037704833	0.04097046	0.04097046
1979-02-13	0.047192384	0.047192384	0.035271116	0.035271116
1979-02-14	0.035782594	0.035782594	0.029133543	0.029133543
1979-02-15	0.029684305	0.029684305	0.021377075	0.021377075
1979-02-16	0.05230145	0.05230145	0.04569165	0.04569165
1979-02-17	0.064773455	0.064773455	0.055032957	0.055032957
1979-02-18	0.07502541	0.07502541	0.06380115	0.06380115
1979-02-19	0.41514263	0.41514263	0.31382635	0.31382635
1979-02-20	1.4312227	1.4312227	1.4298682	1.4298682
1979-02-21	0.0805223	0.0805223	0.079954594	0.079954594
1979-02-22	0.10387575	0.10387575	0.105314575	0.105314575
1979-02-23	0.047849976	0.047849976	0.047141723	0.047141723
1979-02-24	0.035709552	0.035709552	0.034933962	0.034933962
1979-02-25	0.05188558	0.05188558	0.051525876	0.051525876
1979-02-26	0.05414498	0.05414498	0.043297242	0.043297242
1979-02-27	0.04699001	0.04699001	0.040734254	0.040734254
1979-02-28	0.052987143	0.052987143	0.04724292	0.04724292
1979-03-01	0.06357068	0.06357068	0.06450928	0.06450928
