date	hanle_pblh_avg	merak_pblh_avg	hanle_pblh_median	merak_pblh_median
1979-01-01	0.20036197	0.18077141	0.01022876	0.009778809
1979-01-02	0.2883597	0.18487592	0.009641113	0.009098511
1979-01-03	0.1776026	0.17724408	0.0092214355	0.00905603
1979-01-04	0.15625067	0.13563019	0.009347413	0.010033935
1979-01-05	0.18535641	0.14363411	0.0092214355	0.009183594
1979-01-06	0.08167108	0.08072968	0.0108162835	0.011309449
1979-01-07	0.2607019	0.27946642	0.012620972	0.01173462
1979-01-08	0.16596654	0.14112554	0.013838013	0.013902955
1979-01-09	0.5157288	0.38164628	0.058115844	0.05892895
1979-01-10	0.1124137	0.12970966	0.013502441	0.017857056
1979-01-11	0.28119346	0.3718672	0.011655762	0.012244752
1979-01-12	0.20195529	0.3524368	0.016398193	0.012712524
1979-01-13	0.3835567	0.3756194	0.08405286	0.09723694
1979-01-14	0.78024065	1.0263156	0.37800622	0.85192007
1979-01-15	0.8793933	1.1032189	0.4255576	1.0921432
1979-01-16	1.18173	1.5869814	1.1355532	1.8303294
1979-01-17	0.5109757	0.4405009	0.023407105	0.017814575
1979-01-18	0.37444937	0.4531817	0.10684216	0.067304805
1979-01-19	0.64818406	1.1876159	0.403104	1.1511998
1979-01-20	0.7544085	0.8622306	0.35572046	0.34528333
1979-01-21	0.23193188	0.24031855	0.040152833	0.03443884
1979-01-22	0.29503286	0.33818287	0.012998779	0.010841797
1979-01-23	0.1437228	0.13567273	0.009557251	0.01020398
1979-01-24	0.13015622	0.12325763	0.010732422	0.010629151
1979-01-25	0.40350264	0.62435657	0.11746045	0.17521375
1979-01-26	0.69938666	0.85509825	0.21953003	0.52844805
1979-01-27	0.73603636	0.9393464	0.2863871	0.70217395
1979-01-28	0.6425601	0.7232838	0.16165417	0.06573169
1979-01-29	1.0644677	0.74004626	0.6842987	0.36798754
1979-01-30	0.54470855	0.64296854	0.06155725	0.054337036
1979-01-31	0.2576172	0.2880762	0.05106494	0.02028064
1979-02-01	0.35555264	0.32273847	0.06965735	0.028699096
1979-02-02	0.46946794	0.53587794	0.012956665	0.017899659
1979-02-03	0.09110376	0.10344452	0.0103127435	0.011266967
1979-02-04	0.14836048	0.12313007	0.017993163	0.012117188
1979-02-05	0.32180932	0.31117374	0.012662964	0.010926757
1979-02-06	0.43749782	0.46621326	0.023071289	0.013307739
1979-02-07	0.2480796	0.2697087	0.028149657	0.01173462
1979-02-08	0.3053258	0.2962395	0.020888915	0.011437012
1979-02-09	0.13793106	0.1471311	0.010228761	0.010288941
1979-02-10	0.25838313	0.2328568	0.015349122	0.040604003
1979-02-11	0.1815477	0.20648535	0.017573364	0.013307739
1979-02-12	0.13129987	0.15044749	0.016104491	0.012287354
1979-02-13	0.27609414	0.2767134	0.022231933	0.015561158
1979-02-14	0.1788931	0.19610055	0.022903442	0.013605469
1979-02-15	0.15619817	0.19050945	0.013124634	0.04668384
1979-02-16	0.25286412	0.22292896	0.019629883	0.04204956
1979-02-17	0.31586012	0.302649	0.040908325	0.026318114
1979-02-18	0.53968275	0.49210635	0.22859535	0.32929677
1979-02-19	1.6901574	1.9053195	2.1010585	2.3742115
1979-02-20	2.2593563	2.5029328	2.6900144	3.0799997
1979-02-21	0.8069751	0.8139202	0.16203198	0.14200781
1979-02-22	2.043655	2.2246141	2.0849001	2.5744257
1979-02-23	1.223647	0.9787388	1.3565639	0.43907666
1979-02-24	0.7350711	0.688037	0.035704225	0.026190553
1979-02-25	0.65602183	0.73406196	0.35723144	0.082738645
1979-02-26	0.8637282	1.0713629	0.25805786	0.78984475
1979-02-27	0.6381324	0.80205786	0.06290027	0.07912463
1979-02-28	0.7686571	0.95421684	0.22876318	0.5988143
1979-03-01	0.43637514	0.6080512	0.11141687	0.08835095
1979-03-02	1.0826404	1.4032745	1.0256355	1.5666368
1979-03-03	1.7335957	2.0490708	2.06337	2.2319908
1979-03-04	1.3823436	1.7616853	1.4354243	2.2108173
1979-03-05	1.4921145	2.5389452	1.1423943	2.340878
1979-03-06	2.6256754	3.073027	2.6775916	3.0148206
1979-03-07	2.550949	2.9792123	2.5561323	2.9341226
1979-03-08	2.6251929	2.3956084	2.6689458	2.8045297
1979-03-09	0.63326395	0.6921398	0.035074584	0.1050177
1979-03-10	0.3300773	0.5547982	0.034319215	0.055442505
1979-03-11	0.5165891	0.6910876	0.11410291	0.13307923
1979-03-12	0.29692146	0.6480494	0.04384619	0.064753786
1979-03-13	0.41589412	0.74373466	0.1053313	0.2055713
1979-03-14	0.5584221	0.80837166	0.0305	0.08643762
1979-03-15	0.13033454	0.3588463	0.03259839	0.04166675
1979-03-16	0.27382785	0.45412776	0.1064226	0.16730566
1979-03-17	1.5390047	1.4768615	1.737226	1.3751388
1979-03-18	0.3401499	0.5963483	0.08678089	0.284526
1979-03-19	0.26504573	0.40780503	0.041328	0.040306274
1979-03-20	0.15830716	0.26264015	0.018328857	0.019812867
1979-03-21	0.13331436	0.2387135	0.028569335	0.012584961
1979-03-22	0.37537265	0.45035428	0.024624268	0.0133503415
1979-03-23	0.26051307	0.2854826	0.024372436	0.053146485
1979-03-24	0.25292706	0.40722045	0.029072996	0.048724733
1979-03-25	0.19621603	0.32346126	0.020385377	0.021598633
1979-03-26	0.22593027	0.29339084	0.024792114	0.035714354
1979-03-27	0.30132827	0.49418965	0.11683093	0.19247584
1979-03-28	0.18103354	0.2503101	0.048336916	0.08728796
1979-03-29	0.22685364	0.28021052	0.10172205	0.19290113
1979-03-30	0.94303983	1.0683122	0.9429139	1.0490305
1979-03-31	0.564665	0.98370266	0.43273437	1.1939722
1979-04-01	0.37654784	0.51764864	0.1960271	0.307953
1979-04-02	0.30794895	0.49085212	0.080947146	0.22381128
1979-04-03	1.2486187	1.3124894	1.3775907	1.4699099
1979-04-04	1.2419456	1.3795073	0.91790015	1.325521
1979-04-05	0.46702325	0.42954203	0.22775586	0.3338461
1979-04-06	0.3194485	0.28972366	0.0315072	0.027168334
1979-04-07	0.31994167	0.33598262	0.022903442	0.03545935
1979-04-08	0.3332879	0.30216002	0.041705687	0.067815065
1979-04-09	0.3819094	0.32866964	0.015097168	0.024447389
1979-04-10	0.474263	0.5103357	0.111668706	0.21696594
1979-04-11	0.41552687	0.35875067	0.06206091	0.098597534
1979-04-12	0.41571578	0.2859078	0.014005981	0.036862306
1979-04-13	0.4266278	0.32093146	0.03167517	0.04821448
1979-04-14	0.39006197	0.3404788	0.06424329	0.10820654
1979-04-15	0.39245424	0.32471552	0.26028222	0.28350562
1979-04-16	0.50777555	0.45735905	0.15053235	0.27521473
1979-04-17	0.64523566	0.38755617	0.40507653	0.1966001
1979-04-18	0.79894847	0.52753395	0.24567688	0.27712792
1979-04-19	1.4578989	1.2265193	1.2549142	1.176455
1979-04-20	0.9410777	0.7288536	0.36147034	0.2719408
1979-04-21	1.3661435	0.8481148	0.62738824	0.47330305
1979-04-22	1.2950788	0.7002713	0.41481346	0.15131909
1979-04-23	1.2953621	0.56684124	0.09009644	0.04413281
1979-04-24	1.1921594	0.5415859	0.07175586	0.04272986
1979-04-25	0.9900035	0.6304579	0.12799475	0.07525562
1979-04-26	0.7419016	0.6454452	0.27832898	0.24702562
1979-04-27	0.7417128	0.6219969	0.12375586	0.15578344
1979-04-28	0.72565943	0.6744101	0.22389477	0.2108009
1979-04-29	1.0440811	0.82294446	1.0148494	0.41360864
1979-04-30	0.87565804	0.82715374	0.931876	0.8185015
1979-05-01	1.1103191	1.1732557	0.78804696	0.8283655
1979-05-02	1.2979223	1.2344806	0.8555338	0.8175235
1979-05-03	1.4245124	1.3407528	0.83572423	0.53027624
1979-05-04	1.6951728	1.5782228	1.5398021	1.1048133
1979-05-05	1.6538434	1.4592062	0.98500913	0.8911636
1979-05-06	1.3746527	1.1643376	0.7831366	0.74609435
1979-05-07	1.0718437	1.1141778	0.7182939	0.80970037
1979-05-08	1.0389084	1.0700129	0.5562921	0.63125503
1979-05-09	1.5161104	1.5012239	1.6393955	1.6316034
1979-05-10	1.3892685	1.4492464	1.2837471	1.5042214
1979-05-11	1.4096446	1.3757126	0.9463134	0.9286214
