date	hanle_pblh_avg	merak_pblh_avg	hanle_pblh_median	merak_pblh_median
1979-01-01	0.34357044	0.3093773	0.2843727	0.31671154
1979-01-02	0.56745595	0.36086592	0.49740914	0.36492628
1979-01-03	0.34652925	0.3457722	0.31748646	0.35646534
1979-01-04	0.3035526	0.26233193	0.2562112	0.2333351
1979-01-05	0.36165917	0.27816966	0.1749585	0.110630006
1979-01-06	0.15353309	0.15097895	0.116914794	0.13682067
1979-01-07	0.5106504	0.5482398	0.27576894	0.37589577
1979-01-08	0.3202354	0.27079284	0.2641853	0.24502735
1979-01-09	1.0130657	0.7422891	1.0225298	0.5804042
1979-01-10	0.21304572	0.2453037	0.13995606	0.18469518
1979-01-11	0.55161256	0.73280764	0.31387708	0.67759883
1979-01-12	0.39214996	0.6942232	0.23606592	0.60685
1979-01-13	0.7299193	0.70493764	0.653661	0.5929044
1979-01-14	1.418112	1.66009	1.672845	1.9879838
1979-01-15	1.5562962	1.5941881	1.5078635	1.6883216
1979-01-16	2.1451893	2.5309944	2.1651037	2.571407
1979-01-17	1.0067073	0.8693735	0.9090867	0.7734756
1979-01-18	0.6941405	0.868268	0.5792493	0.81692827
1979-01-19	1.1690868	1.7625995	1.1103716	1.9460192
1979-01-20	1.4199586	1.6622584	1.4193501	1.8388755
1979-01-21	0.43720403	0.45740157	0.4474656	0.51148367
1979-01-22	0.5792074	0.6666082	0.60724294	0.5480486
1979-01-23	0.2787068	0.26216185	0.2829037	0.27440685
1979-01-24	0.25088105	0.23697028	0.22381079	0.22610706
1979-01-25	0.74691695	1.1627219	0.75384194	1.3423578
1979-01-26	1.3123702	1.6042434	1.2858875	1.6385761
1979-01-27	1.3796052	1.788216	1.3858585	1.5926574
1979-01-28	1.1778374	1.4053899	1.0857775	1.5182096
1979-01-29	2.0135314	1.3911678	2.08809	1.4376392
1979-01-30	1.0519083	1.2531351	1.1417227	1.4133618
1979-01-31	0.48511216	0.5591031	0.47004515	0.452427
1979-02-01	0.67579985	0.6281726	0.67703795	0.53635633
1979-02-02	0.92784685	1.0613394	0.94946104	1.1401027
1979-02-03	0.17231451	0.19715276	0.16685852	0.17980567
1979-02-04	0.28430974	0.23563097	0.28378516	0.22742517
1979-02-05	0.6321727	0.6119521	0.55633414	0.44757998
1979-02-06	0.8629203	0.9216911	0.8308137	0.9055345
1979-02-07	0.48355922	0.5294259	0.46769482	0.49022496
1979-02-08	0.5956804	0.5825088	0.53174007	0.5335076
1979-02-09	0.26655665	0.28505737	0.27530724	0.2986842
1979-02-10	0.5046488	0.45234203	0.5375318	0.4346548
1979-02-11	0.34976092	0.401555	0.37586585	0.41535193
1979-02-12	0.25008363	0.29037213	0.26888585	0.30854833
1979-02-13	0.53669244	0.54056543	0.6294447	0.6064248
1979-02-14	0.34178668	0.38065776	0.40163502	0.43576026
1979-02-15	0.3015591	0.35767707	0.33255348	0.37993494
1979-02-16	0.49037924	0.41979492	0.5142389	0.4554032
1979-02-17	0.6082712	0.58656925	0.6532414	0.6127599
1979-02-18	0.94757247	0.7913754	0.99759996	0.74643457
1979-02-19	1.864603	2.0500593	2.1010585	2.3742115
1979-02-20	2.7245972	2.907528	2.9124103	3.125791
1979-02-21	1.4980845	1.5208031	1.0099809	1.2555798
1979-02-22	3.0788186	3.3085942	3.095942	3.1449237
1979-02-23	1.7549162	1.7873019	2.1170487	2.1418116
1979-02-24	1.4452453	1.3582593	1.3592081	1.2392107
1979-02-25	1.1709754	1.4213338	1.1149883	1.4956753
1979-02-26	1.6492163	2.0771427	1.7528806	2.085221
1979-02-27	1.2391757	1.5707185	1.1618261	1.8094535
1979-02-28	1.4994696	1.8609846	1.418133	1.8099637
1979-03-01	0.8232802	1.1634661	0.6927765	1.0283672
1979-03-02	1.5803446	1.8621324	1.6310855	1.8582208
1979-03-03	2.1489666	2.311222	2.1359768	2.2319908
1979-03-04	2.1048357	2.5286984	2.1684613	2.4139652
1979-03-05	1.9271164	2.834228	1.8414359	2.6977687
1979-03-06	2.949889	3.25819	2.9313383	3.242671
1979-03-07	2.6425471	3.118988	2.7190154	3.1738355
1979-03-08	2.996223	3.1232185	3.0342894	3.1610377
1979-03-09	1.2442539	1.3322173	1.448309	1.5522659
1979-03-10	0.6435464	1.0877215	0.6346489	1.0456293
1979-03-11	1.0000132	1.3420814	0.9293997	1.3861932
1979-03-12	0.564749	1.2567278	0.37250832	1.3369156
1979-03-13	0.80298805	1.4564105	0.8020647	1.6154892
1979-03-14	1.0926605	1.5830272	1.070081	1.8010776
1979-03-15	0.2372829	0.6906518	0.20576392	0.66884035
1979-03-16	0.48271984	0.8109122	0.45384496	0.6657792
1979-03-17	2.2847373	2.4863935	2.226253	2.452401
1979-03-18	0.63227767	1.0452465	0.70679426	1.2888285
1979-03-19	0.50481665	0.7910352	0.58730745	0.9399735
1979-03-20	0.30317494	0.51107967	0.32252282	0.5829553
1979-03-21	0.24775434	0.4667766	0.24647424	0.52173036
1979-03-22	0.73373854	0.89012194	0.70230347	0.8713931
1979-03-23	0.50439703	0.5411607	0.5779484	0.565183
1979-03-24	0.48679084	0.78601825	0.5489055	0.8119113
1979-03-25	0.37785944	0.6321691	0.40830824	0.6804476
1979-03-26	0.4349587	0.5654168	0.48809186	0.5425638
1979-03-27	0.57498944	0.94953996	0.5610347	0.93308574
1979-03-28	0.33467293	0.46479952	0.3489215	0.38758802
1979-03-29	0.3810281	0.4374397	0.412673	0.46110058
1979-03-30	0.9843377	1.0924408	0.9429139	1.0490305
1979-03-31	0.8712092	1.2800698	0.93754184	1.3704193
1979-04-01	0.6405666	0.8720946	0.74670714	0.9085531
1979-04-02	0.55112994	0.8515162	0.61005497	0.8689271
1979-04-03	1.4938877	1.5230353	1.5241896	1.4699099
1979-04-04	2.2241335	1.9648331	2.3831344	2.1722116
1979-04-05	0.8232173	0.68414664	0.84961605	0.7174377
1979-04-06	0.6182809	0.56125015	0.6008216	0.59681594
1979-04-07	0.6246602	0.6550435	0.6758208	0.58639926
1979-04-08	0.6428539	0.56968987	0.7374319	0.6565528
1979-04-09	0.7519323	0.6403963	0.77188873	0.5805744
1979-04-10	0.9076596	0.9730308	0.94559985	0.93130004
1979-04-11	0.79541254	0.6635257	0.85053927	0.7480502
1979-04-12	0.8198178	0.5493028	0.9565959	0.64804935
1979-04-13	0.8330801	0.6173731	0.97791636	0.74754
1979-04-14	0.7474206	0.6312763	0.86476696	0.7239429
1979-04-15	0.6939097	0.5542348	0.8305199	0.637505
1979-04-16	0.9553578	0.8381232	1.116667	0.8636549
1979-04-17	1.2093563	0.70776504	1.229061	0.79664755
1979-04-18	1.4764284	0.9800462	1.4433985	0.9447355
1979-04-19	2.26625	2.0424912	2.3226566	2.0198293
1979-04-20	1.7014892	1.3167837	1.7694166	1.407622
1979-04-21	2.609832	1.6094093	2.6668894	1.5333033
1979-04-22	2.481007	1.3635103	2.6857338	1.3904874
1979-04-23	2.5430799	1.1088313	2.766357	1.2121272
1979-04-24	2.3548262	1.0631464	2.4543567	1.1548138
1979-04-25	1.942855	1.2363195	2.2077866	1.3310483
1979-04-26	1.4078294	1.2442065	1.5534003	1.2929527
1979-04-27	1.4145656	1.1674414	1.6383042	1.32956
1979-04-28	1.3374888	1.2490535	1.5931451	1.407792
1979-04-29	1.7600783	1.4736089	1.8075247	1.7192742
1979-04-30	1.3702669	1.3492881	1.3627753	1.3666778
1979-05-01	1.9464643	2.094511	1.8265789	1.9763341
1979-05-02	2.442815	2.3347979	2.5984793	2.4292288
1979-05-03	2.59338	2.4479368	2.7309766	2.630166
1979-05-04	2.8847733	2.491538	3.0653467	2.6648602
1979-05-05	2.6100419	2.2977016	2.7150283	2.4305046
1979-05-06	2.2069473	1.8190836	2.3051975	1.989642
1979-05-07	1.6351565	1.6044135	1.8600703	1.6518416
1979-05-08	1.678385	1.736855	1.8397152	1.8892586
1979-05-09	2.0393007	1.9863044	2.0992117	2.093937
1979-05-10	2.050968	2.149167	2.1956573	2.2356048
1979-05-11	2.419249	2.317196	2.4808393	2.3802915
1979-05-12	2.1692376	2.2121353	2.1505823	2.2877312
1979-05-13	2.2671943	2.448617	2.307464	2.4981499
1979-05-14	1.5238118	1.5530313	1.69362	1.7685943
1979-05-15	0.75829065	0.8015583	0.7774706	0.7724551
1979-05-16	1.6901574	2.159988	1.9699042	2.3249764
1979-05-17	2.1341512	2.4849691	2.4752994	2.7376072
1979-05-18	2.418263	2.2696826	2.6364617	2.3302486
1979-05-19	1.8129808	1.9982305	1.95362	2.160094
1979-05-20	2.1226306	2.3275912	2.3554769	2.4035912
1979-05-21	2.061964	2.112007	2.0053265	2.114813
1979-05-22	1.6685013	1.837919	1.8747597	2.0891752
1979-05-23	2.2309537	2.1486783	2.3486357	2.219916
1979-05-24	1.8352875	1.889875	1.9755281	1.9941914
1979-05-25	1.8417927	1.8261416	1.8502076	1.8982723
1979-05-26	1.8651277	1.9427879	2.027906	2.1960638
1979-05-27	1.9314393	1.9852202	2.0794022	2.1700006
1979-05-28	2.063265	2.1954472	2.0986242	2.1872203
1979-05-29	2.6545296	2.806379	2.829143	2.9470477
1979-05-30	2.355183	2.3681102	2.500061	2.490284
1979-05-31	2.149827	1.9403858	2.2063596	2.2105622
1979-06-01	2.334534	2.4285276	2.2960901	2.409586
1979-06-02	1.8396523	1.95718	1.8923447	2.033775
1979-06-03	2.0834732	2.0439367	2.156374	2.2080538
1979-06-04	1.8138621	2.267408	1.9240736	2.2418125
1979-06-05	1.4656212	1.6207827	1.6562672	1.8935528
1979-06-06	1.5808482	1.1158679	1.7317281	1.1422286
1979-06-07	1.1246202	1.0780061	1.2584815	1.1119988
1979-06-08	1.9901963	1.6281171	2.023625	1.6545627
1979-06-09	1.5966287	1.3781574	1.7316442	1.5770961
1979-06-10	2.1049826	1.832498	2.2573524	2.0076694
1979-06-11	1.8230535	2.0494852	2.0875444	2.136582
1979-06-12	1.7828678	1.6418712	1.8226337	1.7498016
1979-06-13	1.5142219	1.3425704	1.4967415	1.3914653
1979-06-14	1.7307208	1.5551572	1.7676958	1.5896387
1979-06-15	2.1102288	1.6990147	2.1870956	1.7242912
1979-06-16	2.0182738	1.8597515	2.17568	2.1486568
1979-06-17	1.8007886	1.9074347	2.0103626	2.027525
1979-06-18	2.024968	2.121212	2.3102756	2.2510386
1979-06-19	1.9336216	2.022444	2.208416	2.169788
1979-06-20	1.789373	1.9749736	2.0822563	2.0459776
1979-06-21	1.4376698	1.9539487	1.583744	1.932116
1979-06-22	1.0602392	1.7752695	0.9883667	1.7069016
1979-06-23	1.4121103	2.012495	1.6033437	2.0708926
1979-06-24	1.8870357	2.1597328	2.0271924	2.243173
1979-06-25	1.4679086	1.880585	1.4912436	1.9049475
1979-06-26	1.891967	1.957839	2.01414	2.0099654
1979-06-27	1.8270196	1.8852407	2.1466792	1.987006
1979-06-28	1.6615133	1.8514607	1.8598186	1.8341136
1979-06-29	2.1028001	2.1668968	2.1047516	2.237178
1979-06-30	1.2694985	1.2662092	1.3584526	1.3350449
1979-07-01	1.5854018	2.099103	1.6485868	2.1414714
1979-07-02	1.5948241	1.3755213	1.6244124	1.6240778
1979-07-03	1.3160006	0.9488384	1.4793243	1.0015812
1979-07-04	1.7711582	1.8788631	1.7798669	1.9235275
1979-07-05	1.9978348	2.1164289	2.178534	2.2180452
1979-07-06	1.9480381	1.9247606	2.3066244	2.087347
1979-07-07	1.7615893	2.1292903	2.0339913	2.1066499
1979-07-08	1.2504864	1.8183396	1.4348787	1.8050742
1979-07-09	1.7389888	2.129099	1.7377298	2.129737
1979-07-10	1.0638486	1.9812448	1.15637	2.0417683
1979-07-11	1.3213726	2.045106	1.4211547	2.0235283
1979-07-12	1.2849013	1.821486	1.4412161	2.0817347
1979-07-13	0.80638754	1.3849602	0.8570446	1.4499693
1979-07-14	0.96190506	1.5934441	1.0506073	1.5988226
1979-07-15	1.5932292	1.7089638	1.8917992	2.0234008
1979-07-16	2.1868858	2.6478534	2.5232282	2.7135851
1979-07-17	1.0388558	1.2042189	1.1451643	1.3771371
1979-07-18	0.94022787	0.9478605	0.911311	0.9799824
1979-07-19	1.1328672	1.1746694	1.2560892	1.2670171
1979-07-20	0.86195505	0.7149504	0.9243635	0.844437
1979-07-21	1.0991868	1.1372541	1.2634339	1.128368
1979-07-22	0.89788073	1.5821133	0.87823904	1.5700383
1979-07-23	1.5803866	1.99704	1.7191373	1.9947866
1979-07-24	1.8858814	2.059009	1.956432	2.1959786
1979-07-25	1.9064885	1.9755476	2.016868	2.0477207
