year	month	hanle_pblh_avg	merak_pblh_avg	hanle_pblh_median	merak_pblh_median
1979	1	0.42962196	0.49304658	0.09441919	0.08205835
1979	2	0.5889769	0.6257756	0.113179564	0.082483515
1979	3	0.7434812	0.95416236	0.2663258	0.48070106
1979	4	0.73766726	0.591158	0.24483752	0.2577401
1979	5	1.3200151	1.3289336	1.1042861	1.1080022
1979	6	1.1147532	1.1181942	1.0820843	1.0177803
1979	7	0.95158327	1.0247995	0.79459417	0.8230508
1979	8	1.0045601	1.1358867	0.78863454	0.9472865
1979	9	1.0296177	1.0519812	0.80915755	0.7741984
1979	10	0.9138088	0.95514643	0.5739613	0.60319364
1979	11	0.69210637	0.75098956	0.22146058	0.20565626
1979	12	0.49179637	0.44415122	0.06411743	0.049745116
1980	1	0.5449401	0.62350315	0.15074217	0.14528161
1980	2	0.69566476	0.82208794	0.2751813	0.27538478
1980	3	0.53640777	0.7033833	0.17747656	0.24404944
1980	4	0.6841399	0.5784056	0.21038061	0.2660309
1980	5	0.8651335	0.9633262	0.46677148	0.67602575
1980	6	1.1282184	1.2482677	0.9023715	1.0972878
1980	7	0.87269914	0.8955073	0.7752883	0.8261971
1980	8	0.93878025	1.014778	0.7240017	0.7466897
1980	9	0.98968947	1.0476636	0.77323174	0.79307604
1980	10	1.0350194	1.078205	0.35601428	0.47755468
1980	11	0.6580899	0.6869942	0.05198828	0.0730022
1980	12	0.41631517	0.3654358	0.028233644	0.020153075
1981	1	0.45288265	0.48962525	0.10847901	0.10803638
1981	2	0.6161217	0.7406537	0.20072779	0.23448303
1981	3	0.5557448	0.6481111	0.23938146	0.32942432
1981	4	0.84562016	0.7843536	0.38455346	0.36241785
1981	5	1.1775998	1.1490725	0.8517984	0.8216052
1981	6	1.3152965	1.296454	1.1318179	1.1178662
1981	7	1.0479896	1.0707816	0.86438924	0.8485187
1981	8	0.9693695	1.1377519	0.7319759	0.90583205
1981	9	0.98968804	1.1987717	0.73147225	0.94953996
1981	10	0.9545303	1.1015196	0.46215492	0.6505154
1981	11	0.33107647	0.23741922	0.020469237	0.017049316
