date	han_pblh_avg	mer_pblh_avg	han_pblh_median	mer_pblh_median
1980-01-01	1.6888635	1.7354453	1.6419744	1.7716192
1980-01-02	1.3005793	1.209335	1.2234181	1.1598636
1980-01-03	0.78913707	0.95033026	0.5315032	0.8728329
1980-01-04	0.48464373	0.6157909	0.16219746	0.41102326
1980-01-05	0.87149346	1.0394869	0.74279547	0.981043
1980-01-06	0.83086824	1.2559988	0.8354666	1.2248541
1980-01-07	0.5468626	1.1146762	0.5052335	1.1073763
1980-01-08	1.1602957	1.1354362	1.2194877	1.153559
1980-01-09	1.1841837	1.246904	1.3974326	1.1663846
1980-01-10	1.0983558	1.2645702	0.52662605	1.1082088
1980-01-11	0.70501876	0.87852544	0.4578794	0.72335464
1980-01-12	0.9654382	0.87651014	0.86655074	0.77328247
1980-01-13	0.7608002	0.61083686	0.7201097	0.6386925
1980-01-14	0.6987643	0.7151255	0.56104076	0.6025938
1980-01-15	0.7852366	1.2772472	0.7591026	1.4027481
1980-01-16	1.840842	1.8532827	1.5919704	1.6273339
1980-01-17	1.0211654	1.0196936	1.0121593	1.0422502
1980-01-18	0.8944295	1.1287061	0.90764177	1.2548708
1980-01-19	1.081086	1.3536158	1.0777326	1.3287046
1980-01-20	0.7981673	0.8316029	0.836941	0.8699703
1980-01-21	1.1422411	1.2837917	1.0060725	0.8563551
1980-01-22	0.6623851	0.84017605	0.43280876	0.7950458
1980-01-23	1.1460686	1.2908849	0.78542745	1.5172436
1980-01-24	1.1704295	1.575272	1.2230793	1.515456
1980-01-25	1.5909053	1.6546257	1.5741735	1.5473938
1980-01-26	1.9811143	1.7998451	1.8053741	1.444566
1980-01-27	1.6026152	1.608499	1.1900003	1.3137243
1980-01-28	1.0221249	1.1995183	0.8465002	1.1795356
1980-01-29	0.46891773	0.70845777	0.2310933	0.47722298
1980-01-30	0.34507176	0.40971914	0.15622099	0.31281063
1980-01-31	0.46489167	0.5109097	0.05666603	0.2172175
1980-02-01	0.727252	1.0049552	0.46647978	0.5144542
1980-02-02	1.5063647	1.5378286	1.2054219	1.3610494
1980-02-03	1.3061718	1.5461317	1.2119899	1.5710065
1980-02-04	2.0334253	2.0681546	1.8319066	1.9526391
1980-02-05	1.680544	1.784521	1.5908594	1.7422336
1980-02-06	1.9901761	1.9958793	1.8899183	1.9532864
1980-02-07	1.8864492	1.929357	1.7932755	1.8550985
1980-02-08	1.6736684	1.8497959	1.3809876	1.9352138
1980-02-09	1.354894	1.4279532	0.9680047	1.0906174
1980-02-10	1.5974227	1.8823389	1.3822956	2.0109053
1980-02-11	1.2427334	1.3484985	1.0230911	1.3644464
1980-02-12	0.32037902	0.5445716	0.06417407	0.5949815
1980-02-13	0.55479884	0.7852963	0.44488066	0.6048771
1980-02-14	1.5383642	1.524267	1.3168092	1.350391
1980-02-15	1.0185388	0.9060055	0.888054	0.83658814
1980-02-16	0.6073355	0.69225925	0.33960888	0.536615
1980-02-17	0.9682111	0.947855	0.70348537	0.91499853
1980-02-18	1.2715782	1.100143	1.1425172	0.8524598
1980-02-19	0.6587514	0.7154878	0.49768654	0.6137656
1980-02-20	1.4993562	1.6878068	1.2338436	1.4657104
1980-02-21	1.7017462	2.0901027	1.7010965	2.118609
1980-02-22	1.2753204	1.553278	1.1030043	1.425468
1980-02-23	0.9893626	1.4103937	0.67268986	1.3901894
1980-02-24	1.5233305	1.7202628	1.1818196	1.5782232
1980-02-25	0.87927985	1.0276792	0.5776259	0.75314885
1980-02-26	0.78030235	1.1960223	0.8244312	1.3503628
1980-02-27	1.387454	1.3815596	1.044285	1.1898985
1980-02-28	1.7338388	1.921893	1.4220504	1.6803839
1980-02-29	1.2807314	1.232496	0.89639217	0.86987907
1980-03-01	1.7707694	1.7887243	1.9082155	1.9637086
1980-03-02	1.70646	1.7316284	1.653163	1.6593318
1980-03-03	1.1331719	1.4435617	0.9915994	1.4742062
1980-03-04	2.1000483	2.2609117	1.9199667	2.1615236
1980-03-05	1.8740174	2.0303416	1.7783062	1.855575
1980-03-06	1.7917975	1.6055659	2.036548	1.3805404
1980-03-07	1.0165514	0.96455073	0.7522111	0.71697
1980-03-08	1.526019	1.6113596	1.4626477	1.7230835
1980-03-09	1.2743907	1.4398103	1.0773044	1.1773293
