date	han_pblh_avg	mer_pblh_avg	han_pblh_median	mer_pblh_median
1980-01-01	2.008975	2.0998209	1.8459482	1.894846
1980-01-02	1.7993215	1.5862049	1.5965729	1.4877753
1980-01-03	1.2266358	1.409754	1.1372485	1.4325609
1980-01-04	0.79818785	0.8914776	0.89071965	0.8395446
1980-01-05	0.7572312	0.96068966	0.76183844	0.9573182
1980-01-06	1.182022	1.267118	1.2559181	1.3228092
1980-01-07	0.6467541	1.1277407	0.52689743	1.1560395
1980-01-08	1.4120904	1.3620071	1.3636339	1.3083017
1980-01-09	1.2926683	1.2856996	1.4192483	1.3736796
1980-01-10	1.7467678	1.6860013	2.1155162	1.5293186
1980-01-11	1.0078275	1.3729931	0.96452326	1.5224243
1980-01-12	1.1616237	1.074955	0.913336	0.86579466
1980-01-13	1.1564274	0.85670143	1.2162697	0.7814735
1980-01-14	0.9855891	0.967773	1.0041904	0.8474529
1980-01-15	0.72362465	1.4972967	0.67050934	1.516186
1980-01-16	2.0557458	1.9932458	2.1620128	2.1584783
1980-01-17	1.4266161	1.371921	1.2440383	1.2719918
1980-01-18	0.9357856	1.4283377	0.915207	1.5225234
1980-01-19	1.4932419	1.7642523	1.6496496	2.0445821
1980-01-20	1.1240733	1.1883212	1.0731392	1.1647298
1980-01-21	1.6404607	1.9730783	1.6269829	2.3977957
1980-01-22	0.9882974	1.1771791	1.0305718	1.2861594
1980-01-23	1.982299	1.7987305	1.8914272	1.7589867
1980-01-24	1.5959394	1.9908624	1.5955826	1.9261658
1980-01-25	1.7969038	1.7343519	1.6052831	1.6153018
1980-01-26	2.3028119	2.029644	2.657455	2.21743
1980-01-27	1.9410245	1.86671	1.9790561	1.7914813
1980-01-28	1.4835865	1.457807	1.5564146	1.4087145
1980-01-29	0.6566367	0.9258877	0.53847444	0.64913064
1980-01-30	0.6226242	0.5738519	0.40400317	0.44183415
1980-01-31	0.8206314	0.84092796	0.6409657	0.82935333
1980-02-01	1.1041365	1.7122868	1.068939	1.8699548
1980-02-02	1.8009076	1.9472284	1.5043718	1.7873545
1980-02-03	1.4988514	1.6249806	1.7157533	1.7812669
1980-02-04	2.3027089	2.2131464	2.530033	2.601409
1980-02-05	1.7116749	1.7744999	1.7090268	1.7422336
1980-02-06	2.030686	2.257336	2.1169639	2.2690358
1980-02-07	2.2694812	2.15613	2.3411484	2.1298213
1980-02-08	2.1117656	2.1036198	2.4444346	2.5394742
1980-02-09	1.7071483	1.7212526	1.4295189	1.5591564
1980-02-10	1.8854628	2.144068	1.7150581	2.170156
1980-02-11	1.8682853	1.7682061	2.0551841	1.9972515
1980-02-12	0.55233085	0.69459236	0.65954435	0.7097842
1980-02-13	0.76510644	1.0628252	0.8766062	1.2133901
1980-02-14	2.1430144	1.9454019	2.564359	1.8234255
1980-02-15	1.241329	1.2669524	1.0715526	1.0708508
1980-02-16	0.92429566	1.0744987	0.843858	0.8812829
1980-02-17	1.4562962	1.3561858	1.5052373	1.1426407
1980-02-18	1.6566815	1.4713576	1.4220891	1.1423049
1980-02-19	0.9845939	0.9218757	0.84883296	0.72949934
1980-02-20	1.9728212	2.0331333	2.3258958	2.2707398
1980-02-21	2.2491174	2.5625882	2.1355758	2.7976341
1980-02-22	1.6741651	1.9144236	1.4689504	1.9295464
1980-02-23	1.4580549	1.9639388	1.5767221	2.0540643
1980-02-24	2.3517148	2.4820836	2.745685	2.7704077
1980-02-25	1.1481843	1.0836327	1.3089176	0.75314885
1980-02-26	1.1931952	1.8159359	1.1990407	1.777916
1980-02-27	1.8063306	1.7180513	2.0635304	1.6088805
1980-02-28	1.8905987	2.023355	2.1419148	2.2360396
1980-02-29	1.4861639	1.5750389	1.1360557	1.4907929
1980-03-01	2.3487556	2.4076848	2.3737063	2.4674716
1980-03-02	1.9770964	1.8787969	2.2968318	2.1246543
1980-03-03	1.3574933	1.4514619	1.2656498	1.4744081
