year	month	han_pblh_avg	mer_pblh_avg	han_pblh_median	mer_pblh_median
1980	1	1.0033225	1.1288651	0.92907506	1.0739832
1980	2	1.2754407	1.4073377	1.1165161	1.3449534
1980	3	1.3637352	1.394848	1.141629	1.2568725
1980	4	1.505874	1.5266172	1.2793379	1.3580313
1980	5	1.6199704	1.6226482	1.5098712	1.4757607
1980	6	1.7960091	1.7768437	1.8473873	1.7863824
1980	7	1.4151276	1.5613154	1.2660421	1.4479403
1980	8	1.440013	1.6251149	1.313998	1.5798961
1980	9	1.2437383	1.4979322	1.2273893	1.3414354
1980	10	1.5427536	1.4580365	1.569345	1.3429075
1980	11	1.1714698	1.1377194	0.9095913	0.923878
1980	12	1.040295	1.2071007	0.8022529	1.1046913
1981	1	1.0135351	1.094446	0.9349588	1.0118616
1981	2	1.0229169	1.2097485	0.98021924	1.1279173
1981	3	1.0190742	1.0509876	0.90453386	0.9674674
1981	4	1.3703871	1.4531149	1.1502674	1.2827976
1981	5	1.5568298	1.6105045	1.4350891	1.4240298
1981	6	1.6121018	1.7084659	1.6270978	1.6674876
1981	7	1.4129734	1.5029831	1.2536232	1.3397677
1981	8	1.1784239	1.3730016	0.97475326	1.264212
1981	9	1.4624667	1.5522169	1.5831802	1.524411
1981	10	1.1850835	1.4606	0.8241559	1.3173667
1981	11	0.84604716	1.0726053	0.6170598	0.9966334
1981	12	0.7492891	1.0132023	0.5719516	0.9956083
1982	1	1.0683608	1.3223028	0.9867506	1.2817062
1982	2	1.3382121	1.4642482	1.2405317	1.4871931
1982	3	1.2061784	1.2219667	1.0216508	1.0910788
1982	4	1.3693134	1.481871	1.2680832	1.3112329
1982	5	1.6177152	1.7651232	1.6031029	1.7249846
1982	6	1.6183574	1.6604997	1.6303403	1.6257596
1982	7	1.5392971	1.6471906	1.5526334	1.6122495
1982	8	1.5139651	1.58775	1.516282	1.4894669
1982	9	1.2797061	1.580415	1.0605047	1.3841174
1982	10	1.4260156	1.507663	1.2497265	1.4226689
1982	11	1.2944361	1.4648597	1.053446	1.464451
1982	12	1.5268415	1.5532199	1.4384894	1.5413198
1983	1	1.5038146	1.5340378	1.4627979	1.4728734
1983	2	1.4646099	1.5231668	1.3443793	1.4523604
1983	3	1.7921987	1.7443653	1.8256729	1.7920426
1983	4	1.5949025	1.6142639	1.5198226	1.5667152
1983	5	1.5631915	1.5819031	1.5722743	1.5156422
1983	6	1.7521194	1.7601248	1.7905954	1.6941442
1983	7	1.594322	1.7142278	1.5862949	1.610832
1983	8	1.467764	1.5808451	1.4328604	1.4346049
1983	9	1.236599	1.3985031	1.000837	1.2284863
1983	10	1.4206252	1.533674	1.2687508	1.3938596
1983	11	1.2764727	1.2917119	1.0175574	1.0226448
1983	12	1.3110547	1.3788979	1.2152197	1.2761338
1984	1	1.3984735	1.5337281	1.3411906	1.4693661
1984	2	1.5105627	1.5882481	1.4211954	1.5897317
1984	3	1.3198421	1.3641526	1.0874565	1.2034714
1984	4	1.5870845	1.5902712	1.5090014	1.4548326
1984	5	1.6189569	1.6513007	1.4139183	1.4197309
1984	6	1.7213078	1.7043126	1.7246068	1.6418334
1984	7	1.5755198	1.6252913	1.5359569	1.5066175
1984	8	1.637636	1.6219494	1.6235306	1.5476801
1984	9	1.2834481	1.5679303	1.1487739	1.37629
1984	10	1.1835533	1.4910451	0.959997	1.3800087
1984	11	1.1349354	1.1641454	0.81496894	0.93896973
1984	12	1.6716202	1.8845512	1.5807534	1.840771
1985	1	1.0833127	1.1777471	0.9986783	1.0622013
1985	2	1.5892206	1.6809176	1.4778337	1.6565592
1985	3	1.705756	1.7663437	1.6039748	1.7213622
1985	4	1.5864468	1.6525501	1.4210311	1.4807849
1985	5	1.6337603	1.7378373	1.5296824	1.602144
1985	6	1.7432827	1.8707029	1.8283356	1.8028243
1985	7	1.6383191	1.7648369	1.6507525	1.7762187
1985	8	1.3715742	1.4817814	1.2648857	1.4024397
1985	9	1.4108902	1.6183296	1.4475226	1.6121345
1985	10	1.3619846	1.4770036	1.1955068	1.3513672
1985	11	1.3631186	1.3902419	1.2093923	1.244515
