year	month	han_pblh	mer_pblh
1980	1	1.0033225	1.1288651
1980	2	1.2754407	1.4073377
1980	3	1.3637352	1.394848
1980	4	1.505874	1.5266172
1980	5	1.6199704	1.6226482
1980	6	1.7960091	1.7768437
1980	7	1.4151276	1.5613154
1980	8	1.440013	1.6251149
1980	9	1.2437383	1.4979322
1980	10	1.5427536	1.4580365
1980	11	1.1714698	1.1377194
1980	12	1.040295	1.2071007
1981	1	1.0135351	1.094446
1981	2	1.0229169	1.2097485
1981	3	1.0190742	1.0509876
1981	4	1.3703871	1.4531149
1981	5	1.5568298	1.6105045
1981	6	1.6121018	1.7084659
1981	7	1.4129734	1.5029831
1981	8	1.1784239	1.3730016
1981	9	1.4624667	1.5522169
1981	10	1.1850835	1.4606
1981	11	0.84604716	1.0726053
1981	12	0.7492891	1.0132023
1982	1	1.0683608	1.3223028
1982	2	1.3382121	1.4642482
1982	3	1.2061784	1.2219667
1982	4	1.3693134	1.481871
1982	5	1.6177152	1.7651232
1982	6	1.6183574	1.6604997
1982	7	1.5392971	1.6471906
1982	8	1.5139651	1.58775
1982	9	1.2797061	1.580415
1982	10	1.4260156	1.507663
1982	11	1.2944361	1.4648597
1982	12	1.5268415	1.5532199
1983	1	1.5038146	1.5340378
1983	2	1.4646099	1.5231668
1983	3	1.7921987	1.7443653
1983	4	1.5949025	1.6142639
1983	5	1.5631915	1.5819031
1983	6	1.7521194	1.7601248
1983	7	1.594322	1.7142278
1983	8	1.467764	1.5808451
1983	9	1.236599	1.3985031
1983	10	1.4206252	1.533674
1983	11	1.2764727	1.2917119
1983	12	1.3110547	1.3788979
1984	1	1.3984735	1.5337281
1984	2	1.5105627	1.5882481
1984	3	1.3198421	1.3641526
1984	4	1.5870845	1.5902712
1984	5	1.6189569	1.6513007
1984	6	1.7213078	1.7043126
1984	7	1.5755198	1.6252913
1984	8	1.637636	1.6219494
1984	9	1.2834481	1.5679303
1984	10	1.1835533	1.4910451
1984	11	1.1349354	1.1641454
1984	12	1.6716202	1.8845512
1985	1	1.0833127	1.1777471
1985	2	1.5892206	1.6809176
1985	3	1.705756	1.7663437
1985	4	1.5864468	1.6525501
1985	5	1.6337603	1.7378373
1985	6	1.7432827	1.8707029
1985	7	1.6383191	1.7648369
1985	8	1.3715742	1.4817814
1985	9	1.4108902	1.6183296
1985	10	1.3619846	1.4770036
1985	11	1.3631186	1.3902419
1985	12	1.2121172	1.2880331
1986	1	1.0711669	1.1344161
1986	2	1.3450288	1.4044929
1986	3	1.571545	1.5659578
1986	4	1.6260507	1.6586523
1986	5	1.7048653	1.7475815
1986	6	1.570615	1.647445
1986	7	1.5187019	1.6282263
1986	8	1.4476762	1.5980917
1986	9	1.433769	1.6370391
1986	10	1.657424	1.6953871
1986	11	1.2162203	1.3804309
1986	12	1.2323763	1.0516511
1987	1	1.045848	1.0352224
1987	2	1.1182625	1.093279
1987	3	1.2617991	1.2235477
1987	4	1.6473875	1.619948
1987	5	1.6185502	1.6343098
1987	6	1.5920178	1.6865379
1987	7	1.5412023	1.6732594
1987	8	1.4992125	1.591401
1987	9	1.4840609	1.548103
1987	10	1.4221426	1.4784826
1987	11	1.2366065	1.3319151
1987	12	1.1474553	1.3104016
1988	1	1.2984006	1.3669647
1988	2	1.350535	1.5449386
1988	3	1.416758	1.4547088
1988	4	1.6105584	1.5861677
1988	5	1.8025739	1.8151857
1988	6	1.7727678	1.7376497
1988	7	1.4319222	1.5001243
1988	8	1.2771331	1.4557259
1988	9	1.4210848	1.5469604
1988	10	1.3494549	1.5322826
1988	11	1.2209295	1.1945575
1988	12	1.0099709	1.1108418
1989	1	1.4628868	1.6012242
1989	2	1.7498465	1.8152494
1989	3	1.4030946	1.4632246
1989	4	1.7634205	1.8904625
1989	5	1.6791534	1.7947415
1989	6	1.6058389	1.7533494
1989	7	1.4493084	1.5833759
1989	8	1.3516303	1.6267772
1989	9	1.3386505	1.4861175
1989	10	1.4464018	1.5263511
1989	11	1.1615909	1.2730294
1989	12	0.974834	1.0511923
1990	1	1.4164755	1.65125
1990	2	1.3581077	1.3949592
1990	3	1.3782727	1.3604981
1990	4	1.5689137	1.5650666
1990	5	1.6578681	1.6565219
1990	6	1.6102668	1.7097384
1990	7	1.530936	1.6197993
1990	8	1.499443	1.5643731
1990	9	1.4743652	1.5780883
1990	10	1.4963621	1.5773605
1990	11	1.1565846	1.2424761
1990	12	1.2819499	1.4642805
1991	1	1.325942	1.4485625
1991	2	1.5105692	1.6895387
1991	3	1.4495623	1.5808448
1991	4	1.6803604	1.7627276
1991	5	1.5453249	1.6404362
1991	6	1.6932963	1.7588629
1991	7	1.5176054	1.5859069
1991	8	1.4921275	1.5943894
1991	9	1.4968865	1.5648903
1991	10	1.2472303	1.4567503
1991	11	1.2443448	1.4207265
1991	12	1.1391978	1.3035622
1992	1	1.3933932	1.6072019
1992	2	1.5421432	1.561531
